name,pokedex id,height,weight,type,hp,attack,defense,sp atk,sp def,speed
snorunt,361,7,168,ice,50,50,50,50,50,50
glalie,362,15,2565,ice,80,80,80,80,80,80
spheal,363,8,395,ice,70,40,50,55,50,25
sealeo,364,11,876,ice,90,60,70,75,70,45
walrein,365,14,1506,ice,110,80,90,95,90,65
clamperl,366,4,525,water,35,64,85,74,55,32
huntail,367,17,270,water,55,104,105,94,75,52
gorebyss,368,18,226,water,55,84,105,114,75,52
relicanth,369,10,234,water,100,90,130,45,65,55
luvdisc,370,6,87,water,43,30,55,40,65,97
bagon,371,6,421,dragon,45,75,60,40,30,50
shelgon,372,11,1105,dragon,65,95,100,60,50,50
salamence,373,15,1026,dragon,95,135,80,110,80,100
beldum,374,6,952,steel,40,55,80,35,60,30
metang,375,12,2025,steel,60,75,100,55,80,50
metagross,376,16,5500,steel,80,135,130,95,90,70
regirock,377,17,2300,rock,80,100,200,50,100,50
regice,378,18,1750,ice,80,50,100,100,200,50
registeel,379,19,2050,steel,80,75,150,75,150,50
latias,380,14,400,dragon,80,80,90,110,130,110
latios,381,20,600,dragon,80,90,80,130,110,110
kyogre,382,45,3520,water,100,100,90,150,140,90
groudon,383,35,9500,ground,100,150,140,100,90,90
rayquaza,384,70,2065,dragon,105,150,90,150,90,95
jirachi,385,3,11,steel,100,100,100,100,100,100
deoxys-normal,386,17,608,psychic,50,150,50,150,50,150
turtwig,387,4,102,grass,55,68,64,45,55,31
grotle,388,11,970,grass,75,89,85,55,65,36
torterra,389,22,3100,grass,95,109,105,75,85,56
chimchar,390,5,62,fire,44,58,44,58,44,61
monferno,391,9,220,fire,64,78,52,78,52,81
infernape,392,12,550,fire,76,104,71,104,71,108
piplup,393,4,52,water,53,51,53,61,56,40
prinplup,394,8,230,water,64,66,68,81,76,50
empoleon,395,17,845,water,84,86,88,111,101,60
starly,396,3,20,normal,40,55,30,30,30,60
staravia,397,6,155,normal,55,75,50,40,40,80
staraptor,398,12,249,normal,85,120,70,50,60,100
bidoof,399,5,200,normal,59,45,40,35,40,31
bibarel,400,10,315,normal,79,85,60,55,60,71
kricketot,401,3,22,bug,37,25,41,25,41,25
kricketune,402,10,255,bug,77,85,51,55,51,65
shinx,403,5,95,electric,45,65,34,40,34,45
luxio,404,9,305,electric,60,85,49,60,49,60
luxray,405,14,420,electric,80,120,79,95,79,70
budew,406,2,12,grass,40,30,35,50,70,55
roserade,407,9,145,grass,60,70,65,125,105,90
cranidos,408,9,315,rock,67,125,40,30,30,58
rampardos,409,16,1025,rock,97,165,60,65,50,58
shieldon,410,5,570,rock,30,42,118,42,88,30
bastiodon,411,13,1495,rock,60,52,168,47,138,30
burmy,412,2,34,bug,40,29,45,29,45,36
wormadam-plant,413,5,65,bug,60,59,85,79,105,36
mothim,414,9,233,bug,70,94,50,94,50,66
combee,415,3,55,bug,30,30,42,30,42,70
vespiquen,416,12,385,bug,70,80,102,80,102,40
pachirisu,417,4,39,electric,60,45,70,45,90,95
buizel,418,7,295,water,55,65,35,60,30,85
floatzel,419,11,335,water,85,105,55,85,50,115
cherubi,420,4,33,grass,45,35,45,62,53,35
cherrim,421,5,93,grass,70,60,70,87,78,85
shellos,422,3,63,water,76,48,48,57,62,34
gastrodon,423,9,299,water,111,83,68,92,82,39
ambipom,424,12,203,normal,75,100,66,60,66,115
drifloon,425,4,12,ghost,90,50,34,60,44,70
drifblim,426,12,150,ghost,150,80,44,90,54,80
buneary,427,4,55,normal,55,66,44,44,56,85
lopunny,428,12,333,normal,65,76,84,54,96,105
mismagius,429,9,44,ghost,60,60,60,105,105,105
honchkrow,430,9,273,dark,100,125,52,105,52,71
glameow,431,5,39,normal,49,55,42,42,37,85
purugly,432,10,438,normal,71,82,64,64,59,112
chingling,433,2,6,psychic,45,30,50,65,50,45
stunky,434,4,192,poison,63,63,47,41,41,74
skuntank,435,10,380,poison,103,93,67,71,61,84
bronzor,436,5,605,steel,57,24,86,24,86,23
bronzong,437,13,1870,steel,67,89,116,79,116,33
bonsly,438,5,150,rock,50,80,95,10,45,10
mime-jr,439,6,130,psychic,20,25,45,70,90,60
happiny,440,6,244,normal,100,5,5,15,65,30
chatot,441,5,19,normal,76,65,45,92,42,91
spiritomb,442,10,1080,ghost,50,92,108,92,108,35
gible,443,7,205,dragon,58,70,45,40,45,42
gabite,444,14,560,dragon,68,90,65,50,55,82
garchomp,445,19,950,dragon,108,130,95,80,85,102
munchlax,446,6,1050,normal,135,85,40,40,85,5
riolu,447,7,202,fighting,40,70,40,35,40,60
lucario,448,12,540,fighting,70,110,70,115,70,90
hippopotas,449,8,495,ground,68,72,78,38,42,32
hippowdon,450,20,3000,ground,108,112,118,68,72,47
skorupi,451,8,120,poison,40,50,90,30,55,65
drapion,452,13,615,poison,70,90,110,60,75,95
croagunk,453,7,230,poison,48,61,40,61,40,50
toxicroak,454,13,444,poison,83,106,65,86,65,85
carnivine,455,14,270,grass,74,100,72,90,72,46
finneon,456,4,70,water,49,49,56,49,61,66
lumineon,457,12,240,water,69,69,76,69,86,91
mantyke,458,10,650,water,45,20,50,60,120,50
snover,459,10,505,grass,60,62,50,62,60,40
abomasnow,460,22,1355,grass,90,92,75,92,85,60
weavile,461,11,340,dark,70,120,65,45,85,125
magnezone,462,12,1800,electric,70,70,115,130,90,60
lickilicky,463,17,1400,normal,110,85,95,80,95,50
rhyperior,464,24,2828,ground,115,140,130,55,55,40
tangrowth,465,20,1286,grass,100,100,125,110,50,50
electivire,466,18,1386,electric,75,123,67,95,85,95
magmortar,467,16,680,fire,75,95,67,125,95,83
togekiss,468,15,380,fairy,85,50,95,120,115,80
yanmega,469,19,515,bug,86,76,86,116,56,95
leafeon,470,10,255,grass,65,110,130,60,65,95
glaceon,471,8,259,ice,65,60,110,130,95,65
gliscor,472,20,425,ground,75,95,125,45,75,95
mamoswine,473,25,2910,ice,110,130,80,70,60,80
porygon-z,474,9,340,normal,85,80,70,135,75,90
gallade,475,16,520,psychic,68,125,65,65,115,80
probopass,476,14,3400,rock,60,55,145,75,150,40
dusknoir,477,22,1066,ghost,45,100,135,65,135,45
froslass,478,13,266,ice,70,80,70,80,70,110
rotom,479,3,3,electric,50,50,77,95,77,91
uxie,480,3,3,psychic,75,75,130,75,130,95
mesprit,481,3,3,psychic,80,105,105,105,105,80
azelf,482,3,3,psychic,75,125,70,125,70,115
dialga,483,54,6830,steel,100,120,120,150,100,90
palkia,484,42,3360,water,90,120,100,150,120,100
heatran,485,17,4300,fire,91,90,106,130,106,77
regigigas,486,37,4200,normal,110,160,110,80,110,100
giratina-altered,487,45,7500,ghost,150,100,120,100,120,90
cresselia,488,15,856,psychic,120,70,120,75,130,85
phione,489,4,31,water,80,80,80,80,80,80
manaphy,490,3,14,water,100,100,100,100,100,100
darkrai,491,15,505,dark,70,90,90,135,90,125
shaymin-land,492,2,21,grass,100,100,100,100,100,100
arceus,493,32,3200,normal,120,120,120,120,120,120
victini,494,4,40,psychic,100,100,100,100,100,100
snivy,495,6,81,grass,45,45,55,45,55,63
servine,496,8,160,grass,60,60,75,60,75,83
serperior,497,33,630,grass,75,75,95,75,95,113
tepig,498,5,99,fire,65,63,45,45,45,45
pignite,499,10,555,fire,90,93,55,70,55,55
emboar,500,16,1500,fire,110,123,65,100,65,65
oshawott,501,5,59,water,55,55,45,63,45,45
dewott,502,8,245,water,75,75,60,83,60,60
samurott,503,15,946,water,95,100,85,108,70,70
patrat,504,5,116,normal,45,55,39,35,39,42
watchog,505,11,270,normal,60,85,69,60,69,77
lillipup,506,4,41,normal,45,60,45,25,45,55
herdier,507,9,147,normal,65,80,65,35,65,60
stoutland,508,12,610,normal,85,110,90,45,90,80
purrloin,509,4,101,dark,41,50,37,50,37,66
liepard,510,11,375,dark,64,88,50,88,50,106
pansage,511,6,105,grass,50,53,48,53,48,64
simisage,512,11,305,grass,75,98,63,98,63,101
pansear,513,6,110,fire,50,53,48,53,48,64
simisear,514,10,280,fire,75,98,63,98,63,101
panpour,515,6,135,water,50,53,48,53,48,64
simipour,516,10,290,water,75,98,63,98,63,101
munna,517,6,233,psychic,76,25,45,67,55,24
musharna,518,11,605,psychic,116,55,85,107,95,29
pidove,519,3,21,normal,50,55,50,36,30,43
tranquill,520,6,150,normal,62,77,62,50,42,65
unfezant,521,12,290,normal,80,115,80,65,55,93
blitzle,522,8,298,electric,45,60,32,50,32,76
zebstrika,523,16,795,electric,75,100,63,80,63,116
roggenrola,524,4,180,rock,55,75,85,25,25,15
boldore,525,9,1020,rock,70,105,105,50,40,20
gigalith,526,17,2600,rock,85,135,130,60,80,25
woobat,527,4,21,psychic,65,45,43,55,43,72
swoobat,528,9,105,psychic,67,57,55,77,55,114
drilbur,529,3,85,ground,60,85,40,30,45,68
excadrill,530,7,404,ground,110,135,60,50,65,88
audino,531,11,310,normal,103,60,86,60,86,50
timburr,532,6,125,fighting,75,80,55,25,35,35
gurdurr,533,12,400,fighting,85,105,85,40,50,40
conkeldurr,534,14,870,fighting,105,140,95,55,65,45
tympole,535,5,45,water,50,50,40,50,40,64
palpitoad,536,8,170,water,75,65,55,65,55,69
seismitoad,537,15,620,water,105,95,75,85,75,74
throh,538,13,555,fighting,120,100,85,30,85,45
sawk,539,14,510,fighting,75,125,75,30,75,85
