state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,metric_used,method_name,year,units_of_measure,event_type,observation_count,observation_percent,completeness_indicator,valid_day_count,required_day_count,exceptional_data_count,null_data_count,certification_indicator,num_obs_below_mdl,arithmetic_mean,arithmetic_standard_dev,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,ninety_nine_percentile,ninety_eight_percentile,ninety_five_percentile,ninety_percentile,seventy_five_percentile,fifty_percentile,ten_percentile,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
06,71,1004,12176,7,34.10374,-117.62914,WGS84,Rubidium (TSP) STP,24 HOUR,Observed Values,LO-VOL-XONTECH 920 or 924- TEFLON - X-RAY FLUORESCENCE,1995,Micrograms/cubic meter (25 C),No Events,30,49,N,29,61,0,0,Certification not required,0,0.0019,0.001561,0.008,1995-07-26 00:00:00,0.004,1995-07-14 00:00:00,0.004,1995-08-07 00:00:00,0.004,1995-10-06 00:00:00,0.008,0.008,0.004,0.004,0.003,0.001,0.001,Upland,1350 SAN BERNARDINO RD. UPLAND,California,San Bernardino,Upland,Riverside-San Bernardino-Ontario CA,2016-04-05
24,5,3001,43231,1,39.310833,-76.474444,WGS84,n-Hexane,1 HOUR,Observed Values,Preconcen trap/Thermal Desorber - Auto GC (PE Clarus 500 dual col),2009,Parts per billion Carbon,No Events,1861,21,N,75,365,0,123,Certification not required,0,1.531306,2.390229,78.37,2009-08-09 08:00:00,34.51,2009-08-31 13:00:00,17.65,2009-08-05 12:00:00,14.21,2009-08-09 09:00:00,7.07,5.91,4.41,2.98,1.7,1.01,0.52,Essex,600 Dorsey Avenue,Maryland,Baltimore,Essex,Baltimore-Columbia-Towson MD,2013-09-09
47,163,3002,12128,1,36.524722,-82.268056,WGS84,Lead (TSP) STP,24 HOUR,Observed Values,HI-VOL - ATOMIC ABSORPTION,1995,Micrograms/cubic meter (25 C),No Events,132,100,Y,60,61,0,15,Certification not required,0,0.08,0.064737,0.64,1995-10-01 00:00:00,0.29,1995-06-07 00:00:00,0.23,1995-08-04 00:00:00,0.22,1995-08-25 00:00:00,0.29,0.23,0.17,0.13,0.1,0.05,0.05,Blountville ozone monitoring site,364 EXIDE DR. ON EXIDE PROPERTY,Tennessee,Sullivan,Bristol,Kingsport-Bristol-Bristol TN-VA,2013-06-29
06,57,5,68101,1,39.234331,-121.056591,WGS84,Sample Flow Rate- CV,24 HOUR,Observed Values,R & P Model 2000 PM2.5 Sampler - Calculation,2008,Percent,No Events,53,87,Y,53,61,0,15,Certification not required,0,0.469811,0.89927,4.2,2008-10-21 00:00:00,3.7,2008-09-27 00:00:00,3.5,2008-10-15 00:00:00,1.7,2008-11-20 00:00:00,4.2,3.7,3.5,1.0,0.3,0.2,0.0,Grass Valley-Litton Building,200 LITTON DR.  GRASS VALLEY CA,California,Nevada,Grass Valley,Truckee-Grass Valley CA,2016-03-12
19,113,37,88370,5,42.00508,-91.6793,WGS84,OC CSN_Rev Unadjusted PM2.5 LC TOR,24 HOUR,Observed Values,URG 3000N w/Pall Quartz filter and Cyclone Inlet - OC1+OC2+OC3+OC4+(OP(TOR))=(88374+88375+88376+88377+88378),2009,Micrograms/cubic meter (LC),No Events,46,100,N,46,46,0,0,Certification not required,0,1.337543,0.506186,2.65,2009-08-11 00:00:00,2.15,2009-06-06 00:00:00,2.14,2009-05-25 00:00:00,2.1,2009-09-16 00:00:00,2.65,2.65,2.14,1.97,1.74,1.25,0.767,ARMY RESERVE CENTER ROOF- CORE MONITORING SITE,1599 WENIG RD NE,Iowa,Linn,Cedar Rapids,Cedar Rapids IA,2010-04-13
55,79,26,88162,5,43.060975,-87.913504,WGS84,Samarium PM2.5 LC,24 HOUR,Observed Values,Met One SASS Teflon - Energy Dispersive XRF,2003,Micrograms/cubic meter (LC),No Events,116,100,Y,60,61,0,5,Certification not required,0,0.000999,0.002272,0.0147,2003-11-17 00:00:00,0.0102,2003-09-09 00:00:00,0.0078,2003-07-29 00:00:00,0.0074,2003-03-28 00:00:00,0.0102,0.0078,0.0053,0.004,0.001,0.0,0.0,MILWAUKEE - SER DNR HDQRS,2300 N M. L. KING JR DR,Wisconsin,Milwaukee,Milwaukee,Milwaukee-Waukesha-West Allis WI,2016-03-23
37,129,10,43560,1,34.23583,-77.9547,WGS84,Methyl isobutyl ketone,24 HOUR,Observed Values,SS 6L - PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2014,Parts per billion Carbon,No Events,58,95,Y,58,61,0,3,Certification not required,0,0.015517,0.105634,0.8,2014-01-23 00:00:00,0.1,2014-08-21 00:00:00,0.0,2014-01-05 00:00:00,0.0,2014-01-11 00:00:00,0.8,0.1,0.0,0.0,0.0,0.0,0.0,Battleship Museum,#1 Battleship Road,North Carolina,New Hanover,Wilmington,Wilmington NC,2015-03-12
06,65,8001,85105,4,33.99958,-117.41601,WGS84,Beryllium PM10 LC,24 HOUR,Observed Values,Hi-Vol SA/GMW1200 - ICP/MS,2012,Nanograms/cubic meter (LC),No Events,9,15,N,9,61,0,0,Certification not required,0,0.0,0.0,0.0,2012-01-28 00:00:00,0.0,2012-03-22 00:00:00,0.0,2012-05-15 00:00:00,0.0,2012-07-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rubidoux,5888 MISSION BLVD. RUBIDOUX,California,Riverside,Rubidoux,Riverside-San Bernardino-Ontario CA,2014-03-04
06,37,5001,43249,2,33.92288,-118.37026,WGS84,3-Methylhexane,24 HOUR,Observed Values,SS CANISTER PRESSURIZED - CRYOGENIC PRECONCENTRATION GC/FID,2001,Parts per billion Carbon,No Events,52,85,N,51,61,0,12,Certification not required,0,2.482692,3.236781,16.7,2001-10-13 00:00:00,12.0,2001-12-27 00:00:00,10.1,2001-11-15 00:00:00,9.5,2001-11-21 00:00:00,16.7,12.0,10.1,5.3,2.6,1.3,0.5,Hawthorne,5234 W. 120TH ST. HAWTHORNE,California,Los Angeles,Hawthorne,Los Angeles-Long Beach-Anaheim CA,2010-03-05
33,15,14,43813,6,43.075371,-70.748017,NAD83,11-Dichloroethane,24 HOUR,Observed Values,Instrumental - ENTECH 2000 W/MS/FID,2003,Parts per billion Carbon,No Events,17,94,N,17,18,0,0,Certification not required,0,0.104706,0.049259,0.14,2003-06-14 00:00:00,0.14,2003-06-26 00:00:00,0.14,2003-07-08 00:00:00,0.14,2003-07-21 00:00:00,0.14,0.14,0.14,0.14,0.14,0.14,0.04,PORTSMOUTH - PEIRCE ISLAND,PORTSMOUTH PEIRCE ISLAND,New Hampshire,Rockingham,Portsmouth,Boston-Cambridge-Newton MA-NH,2012-10-04
06,19,5001,43282,3,36.819111,-119.717356,WGS84,3-Methyl-1-butene,3 HOURS,Observed Values,6L PRESSURIZED CANISTER - DUAL FID - PAMS,1995,Parts per billion Carbon,No Events,20,8,N,0,61,0,0,Certification not required,0,0.525,0.111803,1.0,1995-09-20 05:00:00,0.5,1995-07-28 08:00:00,0.5,1995-07-28 12:00:00,0.5,1995-07-28 16:00:00,1.0,1.0,1.0,0.5,0.5,0.5,0.5,Clovis-Villa,908 N VILLA AVE CLOVIS,California,Fresno,Clovis,Fresno CA,2010-03-04
06,19,8,43214,3,36.781333,-119.77319,WGS84,Isobutane,3 HOURS,Observed Values,6L PRESSURIZED CANISTER - DUAL FID - PAMS,2001,Parts per billion Carbon,No Events,29,8,N,0,91,0,0,Certification not required,0,3.793103,2.904791,11.0,2001-09-16 05:00:00,10.0,2001-09-22 05:00:00,9.0,2001-08-26 05:00:00,7.0,2001-09-04 05:00:00,11.0,11.0,10.0,9.0,5.0,3.0,1.0,3425 N FIRST ST FRESNO,3425 N FIRST ST FRESNO,California,Fresno,Fresno,Fresno CA,2010-03-05
06,83,2011,61103,1,34.44551,-119.8284,WGS84,Wind Speed - Resultant,1 HOUR,Observed Values,INSTRUMENTAL - VECTOR SUMMATION,2010,Knots,No Events,8755,100,Y,365,365,0,5,Certification not required,0,2.862284,1.965946,14.0,2010-05-09 14:00:00,12.8,2010-04-28 17:00:00,12.8,2010-04-29 16:00:00,12.8,2010-05-09 15:00:00,9.7,8.4,6.4,5.2,4.1,2.3,1.0,Goleta,380 N FAIRVIEW AVENUE GOLETA,California,Santa Barbara,Goleta,Santa Maria-Santa Barbara CA,2016-04-23
22,33,9,88101,1,30.46198,-91.17922,WGS84,PM2.5 - Local Conditions,24 HOUR,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2004,Micrograms/cubic meter (LC),No Events,354,97,Y,354,366,0,0,Certification not required,0,12.592655,6.058277,38.4,2004-09-30 00:00:00,35.6,2004-08-04 00:00:00,32.6,2004-10-01 00:00:00,32.4,2004-09-29 00:00:00,32.4,28.5,24.7,20.8,15.5,11.0,6.5,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,Baton Rouge LA,2015-04-02
19,153,30,45207,8,41.603159,-93.643118,WGS84,135-Trimethylbenzene,24 HOUR,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,2000,Parts per billion Carbon,No Events,6,46,N,6,13,0,0,Certification not required,0,0.716667,0.116905,0.9,2000-10-21 00:00:00,0.8,2000-10-15 00:00:00,0.7,2000-11-03 00:00:00,0.7,2000-11-14 00:00:00,0.9,0.9,0.9,0.9,0.8,0.7,0.6,CARPENTER,1907 CARPENTER DES MOINES IOWA,Iowa,Polk,Des Moines,Des Moines-West Des Moines IA,2010-03-05
48,453,21,43291,1,30.263208,-97.712883,WGS84,23-Dimethylpentane,24 HOUR,Observed Values,6L SUBATM CANISTER - Entech Precon-  GC/FID/MSD,2000,Parts per billion Carbon,No Events,45,74,N,45,61,0,0,Certification not required,0,0.144444,0.336125,1.5,2000-01-01 00:00:00,1.2,2000-11-20 00:00:00,0.8,2000-11-26 00:00:00,0.7,2000-04-18 00:00:00,1.5,1.5,0.8,0.6,0.0,0.0,0.0,Austin Webberville Rd,2600B Webberville Rd,Texas,Travis,Austin,Austin-Round Rock TX,2016-03-06
35,45,9,42401,1,36.742227,-107.977567,WGS84,Sulfur dioxide,1 HOUR,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2007,Parts per billion,No Events,8369,96,Y,352,365,0,282,Certification not required,0,0.798295,1.102547,7.0,2007-04-03 12:00:00,6.0,2007-03-06 15:00:00,6.0,2007-04-01 13:00:00,5.0,2007-02-03 13:00:00,5.0,4.0,3.0,2.0,1.0,1.0,0.0,1ZB Bloomfield,2200 N 1st Street Bloomfield NM,New Mexico,San Juan,Bloomfield,Farmington NM,2010-10-16
11,1,42,88328,1,38.876255,-77.034059,WGS84,OP PM2.5 LC TOR,24 HOUR,Observed Values,IMPROVE Module C with Cyclone Inlet-Quartz Filter - IMPROVE TOR w/Adjustment,2005,Micrograms/cubic meter (LC),No Events,118,97,Y,118,122,0,4,Certification not required,0,0.372169,0.340437,2.2487,2005-12-24 00:00:00,1.7835,2005-08-14 00:00:00,1.5518,2005-11-21 00:00:00,1.2028,2005-06-06 00:00:00,1.7835,1.5518,1.0165,0.6684,0.4485,0.3262,0.008,HAINS POINT PM-2.5 AND IMPROVE SITE ON ROOF OF PARK POLICE BLDG.,PARK SERVICES OFFICE 1100 OHIO DRIVE,District Of Columbia,District of Columbia,Washington,Washington-Arlington-Alexandria DC-VA-MD-WV,2016-03-09
33,11,5001,43231,1,42.86183,-71.878626,NAD83,n-Hexane,1 HOUR,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2015,Parts per billion Carbon,No Events,2479,28,N,103,365,0,360,Certification not required,0,0.151037,0.189966,1.73,2015-09-25 19:00:00,1.54,2015-09-26 01:00:00,1.37,2015-07-28 07:00:00,1.36,2015-09-19 01:00:00,0.88,0.67,0.49,0.37,0.24,0.12,0.0,MILLER STATE PARK,PACK MONADNOCK SUMMIT,New Hampshire,Hillsborough,Peterborough (Peterboro),Manchester-Nashua NH,2015-12-23
17,97,1007,43250,3,42.467573,-87.810047,WGS84,224-Trimethylpentane,1 HOUR,Observed Values,PRECONCENTRATION TRAP - PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,2002,Parts per billion Carbon,No Events,1473,25,N,56,243,0,0,Certification not required,0,1.171147,1.665165,12.2,2002-06-29 02:00:00,12.1,2002-06-22 22:00:00,10.2,2002-06-22 23:00:00,10.2,2002-06-29 03:00:00,8.6,6.5,4.2,3.1,1.7,0.7,0.0,CAMP LOGAN TRAILER,ILLINOIS BEACH STATE PARK,Illinois,Lake,Zion,Chicago-Naperville-Elgin IL-IN-WI,2012-11-14
08,101,12,85101,1,38.263058,-104.612133,WGS84,PM10 - LC,24 HOUR,Observed Values,HI-VOL-SA/GMW-321-B - GRAVIMETRIC,1998,Micrograms/cubic meter (LC),No Events,53,96,N,49,55,0,0,Certification not required,0,21.603774,10.314925,55.0,1998-12-01 00:00:00,47.0,1998-11-25 00:00:00,45.0,1998-12-04 00:00:00,40.0,1998-10-14 00:00:00,55.0,47.0,45.0,34.0,27.0,19.0,12.0,Pueblo Publics Works,211 D ST.,Colorado,Pueblo,Pueblo,Pueblo CO,2011-04-22
25,9,2006,43263,9,42.474642,-70.970816,WGS84,2-Methylhexane,1 HOUR,Observed Values,SORBANT TUBE-CARBOSIEVE-C-TRAP - GAS CHROMATOGRAPH W/FLAME; GC FID,1999,Parts per billion Carbon,No Events,11,0,N,0,244,0,0,Certification not required,0,0.454545,0.347458,1.2,1999-08-04 14:00:00,0.8,1999-07-29 14:00:00,0.6,1999-06-05 14:00:00,0.6,1999-07-23 14:00:00,1.2,1.2,1.2,0.8,0.6,0.4,0.1,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,Boston-Cambridge-Newton MA-NH,2016-03-06
25,5,1002,42401,1,41.633278,-70.879162,WGS84,Sulfur dioxide,1 HOUR,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,1984,Parts per billion,No Events,7806,89,Y,336,366,0,0,Certification not required,0,15.845238,16.070735,140.0,1984-12-04 16:00:00,99.0,1984-11-05 11:00:00,82.0,1984-01-20 11:00:00,71.0,1984-01-22 19:00:00,71.0,58.0,43.0,35.0,21.0,11.0,2.0,LEROY WOOD SCHOOL,60 SCONTICUT NECK RD,Massachusetts,Bristol,Fairhaven (Town of),Providence-Warwick RI-MA,2013-02-16
17,163,1010,43819,7,38.592192,-90.165081,WGS84,Bromomethane,24 HOUR,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,1988,Parts per billion Carbon,No Events,22,36,N,22,61,0,0,Certification not required,0,0.0,0.0,0.0,1988-01-10 00:00:00,0.0,1988-01-22 00:00:00,0.0,1988-02-03 00:00:00,0.0,1988-02-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IEPA TRAILER,LITTLE AVE.,Illinois,Saint Clair,Sauget (Monsanto),St. Louis MO-IL,2012-10-17
21,19,2,82154,7,38.47676,-82.63137,NAD83,Selenium PM10 STP,24 HOUR,Observed Values,Multiple Methods Used,2012,Nanograms/cubic meter (25 C),No Events,16,64,N,16,25,0,1,Certification not required,0,1.025,0.666813,3.25,2012-04-03 00:00:00,1.38,2012-08-01 00:00:00,1.3,2012-08-25 00:00:00,1.28,2012-03-22 00:00:00,3.25,3.25,3.25,1.38,1.28,0.82,0.56,21ST & GREENUP,122 22ND STREET,Kentucky,Boyd,Ashland,Huntington-Ashland WV-KY-OH,2013-04-26
25,9,2006,43813,11,42.474642,-70.970816,WGS84,11-Dichloroethane,24 HOUR,Observed Values,Instrumental - ENTECH 2000 W/MS/FID,2010,Parts per billion Carbon,No Events,15,25,N,15,61,0,0,Certification not required,0,0.0,0.0,0.0,2010-01-08 00:00:00,0.0,2010-02-01 00:00:00,0.0,2010-02-25 00:00:00,0.0,2010-03-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LYNN WATER TREATMENT PLANT,390 PARKLAND,Massachusetts,Essex,Lynn,Boston-Cambridge-Newton MA-NH,2012-10-04
06,13,2,12128,7,37.936013,-122.026154,WGS84,Lead (TSP) STP,24 HOUR,Observed Values,LO-VOL-XONTECH 920 or 924- TEFLON - X-RAY FLUORESCENCE,1985,Micrograms/cubic meter (25 C),No Events,29,48,N,29,61,0,0,Certification not required,0,0.070103,0.035718,0.157,1985-11-03 00:00:00,0.15,1985-10-16 00:00:00,0.132,1985-11-15 00:00:00,0.12,1985-11-27 00:00:00,0.157,0.157,0.15,0.132,0.087,0.062,0.034,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,San Francisco-Oakland-Hayward CA,2013-06-29
34,7,3,45806,3,39.923042,-75.097617,WGS84,13-Dichlorobenzene,3 HOURS,Observed Values,CANISTER SUBAMBIENT PRESSURE - MULTI DETECTOR GC,1989,Parts per billion Carbon,No Events,4,0,N,0,289,0,0,Certification not required,0,3.39,5.185171,11.16,1989-06-27 14:00:00,1.02,1989-09-07 14:00:00,0.9,1989-03-11 14:00:00,0.48,1989-12-24 14:00:00,11.16,11.16,11.16,11.16,11.16,1.02,0.48,CAMDEN LAB,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,2010-04-25
53,53,29,88113,5,47.1864,-122.4517,WGS84,Cobalt PM2.5 LC,24 HOUR,Observed Values,Met One SASS Teflon - Energy Dispersive XRF,2014,Micrograms/cubic meter (LC),No Events,58,95,Y,58,61,0,3,Certification not required,0,0.000231,0.000544,0.003,2014-04-17 00:00:00,0.0014,2014-08-27 00:00:00,0.001,2014-02-16 00:00:00,0.001,2014-03-18 00:00:00,0.003,0.0014,0.001,0.001,0.0,0.0,0.0,TACOMA - L STREET,7802 SOUTH L STREET,Washington,Pierce,Tacoma,Seattle-Tacoma-Bellevue WA,2016-02-25
34,23,6,88301,5,40.472825,-74.422403,WGS84,Ammonium Ion PM2.5 LC,24 HOUR,Observed Values,Met One SASS Nylon - Ion Chromatography,2009,Micrograms/cubic meter (LC),No Events,102,84,Y,102,122,0,1,Certification not required,0,1.023637,0.799135,3.62,2009-01-16 00:00:00,3.46,2009-01-22 00:00:00,3.25,2009-08-26 00:00:00,3.1,2009-03-14 00:00:00,3.46,3.25,2.43,2.1,1.45,0.79,0.172,New Brunswick,Cook College Log Cabin Road near Horticulture Lab,New Jersey,Middlesex,North Brunswick Township,New York-Newark-Jersey City NY-NJ-PA,2016-03-09
48,37,1031,88101,1,33.436111,-94.07778,WGS84,PM2.5 - Local Conditions,24 HOUR,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2016,Micrograms/cubic meter (LC),No Events,87,73,N,86,118,0,7,Requested but not yet concurred,0,9.209195,3.802436,24.1,2016-07-11 00:00:00,17.0,2016-08-01 00:00:00,17.0,2016-10-27 00:00:00,16.3,2016-07-09 00:00:00,24.1,17.0,15.7,14.0,11.8,9.0,5.0,Texarkana New Boston,2700 New Boston Rd,Texas,Bowie,Texarkana,Texarkana TX-AR,2017-03-22
