id,cause_of_death,region_origin,dead,incident_region,date,source,reliability,lat,lon
30,Drowning,Middle East/ South Asia,3.0,Mediterranean,28/10/2015,Associated Press and Hellenic Coast Guard,Verified,37.7548,26.9778
32,Presumed drowning,Middle East/ South Asia,19.0,Mediterranean,28/10/2015,AP,Partially Verified,36.9523,26.9808
33,Presumed drowning,Middle East/ South Asia,1.0,Mediterranean,01/10/2015,Hellenic Coast Guard,Verified,36.9523,26.9808
35,Died of unknown cause in hospital shortly after rescue,Middle East/ South Asia,1.0,Mediterranean,28/10/2015,Hellenic Coast Guard,Verified,37.7548,26.9778
38,Drowning,MENA,1.0,Mediterranean,26/10/2015,IOM Greece and AP,Verified,38.37315331,26.46039668
43,Drowning,Sub-Saharan Africa,1.0,Mediterranean,26/10/2015,AFP,Partially Verified,35.88383695,-5.31757345
46,Presumed drowning,Middle East/ South Asia,4.0,Mediterranean,21/10/2015,WWNT Radio,Partially Verified,39.27406857,26.38001018
47,Drowning,Middle East/ South Asia,2.0,Mediterranean,22/10/2015,Hurriyet Daily News,Partially Verified,39.3192,26.60176279
49,Drowning,MENA,12.0,Mediterranean,22/10/2015,Hurriyet Daily News,Verified,39.41074434,26.58690625
50,Drowning,Sub-Saharan Africa,1.0,Mediterranean,21/10/2015,Desalambre,Partially Verified,35.8894,-5.32135
56,Drowning,MENA,4.0,Mediterranean,19/10/2015,IOM Greece,Verified,36.1495,29.5934
59,Drowning,Middle East,4.0,Mediterranean,17/10/2015,Hellenic Coast Guard via IOM Greece,Verified,36.9523,26.9808
61,Drowning,MENA,13.0,Mediterranean,16/10/2015,Turkish Coast Guard via IOM Turkey,Partially Verified,39.4162,26.4074
62,Presumed drowning,Middle East/ South Asia,7.0,Mediterranean,15/10/2015,IOM Greece,Verified,39.2889504,26.38824993
63,Hit by vehicle,MENA,1.0,Europe,15/10/2015,AFP,Partially Verified,50.9342,1.78665
65,Shot,MENA,1.0,Europe,15/10/2015,BBC,Partially Verified,42.3452,27.1813
68,Shot,Central America & Mexico,1.0,Central America incl. Mexico,05/10/2015,Agenda Tlaxcala,Partially Verified,19.408,-98.052
69,Presumed drowning,Middle East,2.0,Mediterranean,03/10/2015,IOM Greece,Verified,36.8915,27.2877
70,Drowning,Middle East,7.0,Mediterranean,14/10/2015,AP,Partially Verified,37.77941392,26.35340986
71,Vehicle accident,Horn of Africa,8.0,Horn of Africa,12/10/2015,Horseed Media,Partially Verified,9.5116,49.0868
72,Drowning,MENA,11.0,Mediterranean,10/10/2015,IOM and Daily Star,Verified,31.5548,31.0911
73,Drowning,MENA,1.0,Mediterranean,09/10/2015,IOM Athens and Reuters,Verified,39.2841673,26.38550335
74,Drowning,Sub-Saharan Africa,2.0,Mediterranean,09/10/2015,StateWatch.org,Verified,35.9402,-5.4451
75,Vehicle accident,Caribbean,3.0,Caribbean,08/10/2015,Yahoo! News,Partially Verified,18.6046,-70.1862
79,Hit by train,Horn of Africa,1.0,Europe,30/09/2015,CNN,Partially Verified,50.9171,1.79277
82,drowning,South Asia,2.0,Mediterranean,30/09/2015,IOM Greece,Verified,39.3346,26.4755
85,Hi by truck,Middle East/ South Asia,1.0,Europe,29/09/2015,BBC,Partially Verified,50.9513,1.85869
86,Drowning,MENA,1.0,Mediterranean,29/09/2015,Hurriyet Daily News,Partially verified,40.6765414,25.94885313
87,Crushed to death,Middle East/ South Asia,1.0,Europe,29/09/2015,BBC,Partially Verified,50.9513,1.85869
89,Drowning,MENA,17.0,Mediterranean,27/09/2015,Hurriyet Daily News,Partially Verified,37.01356685,27.1819604
91,Presumed drowning,Middle East/ South Asia,1.0,Mediterranean,24/09/2015,Hellenic Coast Guard via IOM Greece,Verified,37.4667,26.9667
92,Hit by train,Horn of Africa,1.0,Europe,24/09/2015,BBC,Partially Verified,50.9232,1.78285
94,Presumed drowning,Middle East/ South Asia,1.0,Mediterranean,23/09/2015,IOM Greece,Verified,39.3671,26.1751
95,Presumed drowning,Middle East/ South Asia,1.0,Mediterranean,22/09/2015,IOM Greece/AFP,Partially Verified,39.3824,26.4864
97,Drowning,Middle East,2.0,Mediterranean,20/09/2015,IOM Greece,Verified,39.4196,26.4507
100,Drowning. Boat collided with ferry,Middle East/ South Asia,13.0,Mediterranean,20/09/2015,IOM/Coast Guard Command/Indian Express,Partially Verified,39.44556183,26.04287441
101,Fell from train,Central America & Mexico,1.0,Central America incl. Mexico,20/09/2015,Red-accion,Partially Verified,19.7098,-98.9715
102,Drowning,Middle East,13.0,Mediterranean,19/09/2015,IOM Greece,Verified,39.3877,26.4315
103,Drowning,MENA,1.0,Mediterranean,18/09/2015,Anadolu Agency,Partially Verified,38.32860933,26.29358696
104,Electrocution,Middle East/ South Asia,1.0,Europe,18/09/2015,BBC,Partially Verified,50.9515,1.8457
106,Drowning,Middle East,22.0,Mediterranean,15/09/2015,RTE News and Turkish Coast Guard,Verified,36.7191,27.3388
107,Drowning,MENA,2.0,Mediterranean,14/09/2015,Hurriyet Daily News,Partially Verified,38.00701904,27.10185693
108,Drowning,MENA,1.0,Mediterranean,05/09/2015,IOM Greece,Verified,37.5005,27.0791
109,Hit by vehicle,Horn of Africa,1.0,Europe,24/07/2015,The Express,Partially Verified,50.1487,1.88965
113,"Unknown, torture involved",South East Asia,106.0,Southeast Asia,25/05/2015,BBC,Partially Verified,6.44491,100.5785352
114,Train accident,MENA,1.0,Europe,24/04/2015,Radio Free Europe,Partially Verified,41.5579,21.8188
119,Drowning,Central America & Mexico,1.0,U.S./Mexico Border,21/04/2015,Televisa,Partially Verified,27.49541266,-99.52264916
122,Burns from cooking gas explosion in connection house in Libya,Sub-Saharan Africa,1.0,Mediterranean,17/04/2015,UNHCR,Verified,35.1738,17.2266
123,Drowning,Sub-Saharan Africa,41.0,Mediterranean,16/04/2015,BBC and CBC,Partially Verified,35.7465,14.4141
131,Drowning,Horn of Africa,2.0,Mediterranean,10/04/2015,Global Post,Partially Verified,32.2144,30.8706
132,Drowning,Caribbean,21.0,Caribbean,09/04/2015,IN. com,Partially Verified,18.9251,-72.7247
133,Drowning,MENA,7.0,Mediterranean,06/04/2015,SALON,Partially Verified,36.7171,27.7259
135,Drowning,Central America,1.0,U.S./Mexico Border,13/04/2015,Televisa,Partially Verified,29.1761,-103.692
136,Drowning,Caribbean,1.0,Caribbean,03/04/2015,Caribbean News Now,Partially Verified,18.1354,-67.7856
141,Drowning,Sub-Saharan Africa,3.0,Mediterranean,19/03/2015,IOM Tunisa,Verified,33.7123,11.4474
143,Drowning,MENA,5.0,Mediterranean,17/03/2015,IOM Turkey,Verified,37.02007328,27.40131626
144,Train accident,Central America & Mexico,6.0,Central America incl. Mexico,17/03/2015,South China Morning Post,Partially Verified,18.0623,-93.5596
146,Hypothermia,MENA,2.0,Middle East ,10/03/2015,BGN news,Partially Verified,41.7713,26.9385
147,Drowning,Horn of Africa,42.0,Horn of Africa,09/03/2015,The Washington Post,Partially Verified,13.5819,49.4824
151,Drowning,Central America & Mexico,1.0,Central America incl. Mexico,09/03/2015,SinEmbargo,Partially Verified,17.4987,-91.9804
156,"Unclear, possibly related to earlier beating by truck driver",Horn of Africa,1.0,Europe,14/02/2015,Calais Migrant Solidarity,Verified,50.9513,1.85869
160,Hypothermia,Sub-Saharan Africa,29.0,Mediterranean,08/02/2015,IOM Rome,Verified,34.579,12.4365
161,Drowning,MENA,7.0,Mediterranean,07/02/2015,MENAFN - Khaleej Times,Partially Verified,36.59079898,28.24872051
164,Drowning,Horn of Africa,3.0,Horn of Africa,02/02/2015,IOM Yemen,Verified,12.5331,47.9224
165,Drowning,Horn of Africa,3.0,Horn of Africa,02/02/2015,IOM Yemen,Verified,12.8994,43.3632
167,Drowning,Sub-Saharan Africa,8.0,Mediterranean,30/01/2015,AP,Partially Verified,35.4043,-2.86119
168,Drowning,South East Asia,8.0,Southeast Asia,29/01/2015,Xinhaunet,Partially Verified,16.4181,89.605
175,Severe exhaustion and dehydration,South East Asia,2.0,Southeast Asia,14/01/2015,Mizzima,Partially Verified,8.04445,100.284
176,Beating/shot by traffickers,South East Asia,1.0,Southeast Asia,11/01/2015,Reuters,Partially Verified,8.04445,100.284
180,Drowning,Sub-Saharan Africa,2.0,Sub-Saharan Africa,07/01/2015,TNA Media,Partially Verified,-22.169,29.81
183,Drowning,Caribbean,1.0,Caribbean,03/01/2015,Cayman Compass,Partially Verified,19.2347,-81.3881
188,Shot,Horn of Africa,1.0,Horn of Africa,01/01/2015,Regional Mixed Migration Secretariat,Verified,10.9196,41.9266
189,Starvation,Horn of Africa,2.0,Horn of Africa,01/01/2015,Regional Mixed Migration Secretariat,Verified,11.9647,43.2884
194,Drowning,MENA,2.0,Mediterranean,28/12/2014,Saudi Press Agency,Partially Verified,39.9771,19.0503
198,Drowning,Caribbean,1.0,Caribbean,16/12/2014,Miami Herald,Partially Verified,23.6445,-80.2881
199,Vehicle accident,MENA,1.0,Europe,12/12/2014,Calais Migrant Solidarity,Verified,51.1208,1.0437
200,Drowning,Horn of Africa,21.0,Horn of Africa,07/12/2014,IOM Yemen,Verified,13.1383,43.1598
202,Hypothermia,Sub-Saharan Africa,17.0,Mediterranean,05/12/2014,IOM Rome,Verified,34.1618,13.0737
208,Drowning,South Asia,4.0,Mediterranean,07/11/2014,Daily News,Verified,39.279,26.532
209,Drowning,South Asia,27.0,Middle East ,05/11/2014,Daily Sabah,Verified,41.2582,29.1289
215,Hit by truck,Middle East/ South Asia,1.0,Europe,24/10/2014,Liberation.fr,Partially Verified,50.9513,1.85869
218,Hit by vehicle,Horn of Africa,1.0,Europe,20/10/2014,Kentonline,Verified,50.95131433,1.85869
219,Drowning,Horn of Africa,1.0,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
220,Drowning,Horn of Africa,1.0,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
221,Drowning due to forced disembarcation,Horn of Africa,1.0,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
222,Drowning,Horn of Africa,1.0,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
224,Drowning,Horn of Africa,1.0,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
225,Drowning,Horn of Africa,1.0,Horn of Africa,17/10/2014,Society for Humanitarian Solidarity,Verified,12.5331,47.9224
226,Drowning,Horn of Africa,1.0,Horn of Africa,16/10/2014,Society for Humanitarian Solidarity,Verified,12.6082,48.8232
234,Drowning,Horn of Africa,64.0,Horn of Africa,02/10/2014,UNHCR,Verified,12.7047,49.4824
235,Drowning,Sub-Saharan Africa,10.0,Mediterranean,02/10/2014,AFP,Verified,33.5963,14.6338
236,Drowning,Sub-Saharan Africa,2.0,Mediterranean,01/10/2014,AFP,Verified,35.9858,-5.39635
243,Drowning,MENA,15.0,Mediterranean,14/09/2014,Palestinian News Network,Partially Verified,31.5253,29.6864
246,Drowning,MENA,3.0,Mediterranean,12/09/2014,"Still under investigation, but reports passed on via IOM Italy. Also the Guardian",Verified,33.9069,14.4141
248,Hyperthermia,Central America,1.0,U.S./Mexico Border,11/09/2014,PCOME,Verified,32.5531,-112.433
255,Tortured to death,South Asia,1.0,Southeast Asia,31/08/2014,Daily Star,Verified,22.6699,88.9467
257,Drowning,MENA,42.0,Mediterranean,29/08/2014,AFP,Verified,33.5111,11.8652
259,"Dehydration, Presumed drowning",Caribbean,11.0,Caribbean,28/08/2014,Yahoo! News,Verified,23.6244,-86.2866
260,Drowning,Caribbean,1.0,Caribbean,25/08/2014,Miami Herald,Verified,26.2937,-80.0615
261,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,25/08/2014,PCOME,Verified,31.7552,-111.833
264,Drowning,Caribbean,4.0,Caribbean,24/08/2014,Miami Herald,Verified,25.8709,-79.6756
265,Drowning,Sub-Saharan Africa,18.0,Mediterranean,23/08/2014,IOM Rome and Yahoo! News,Verified,35.2823,15.8752
266,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,03/08/2014,PCOME,Verified,32.1119,-112.271
267,Drowning,Sub-Saharan Africa,170.0,Mediterranean,22/08/2014,"Aljazeera, Telegraph, IOM, UNHCR",Verified,32.9212,13.7659
268,Hyperthermia,Central America,1.0,U.S./Mexico Border,21/08/2014,PCOME,Verified,32.1816,-112.424
269,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,18/08/2014,PCOME,Verified,32.1991,-112.155
270,"Homicide, likely by asphyxiation",South Asia,1.0,Europe,16/08/2014,News Letter - The Pride of Northern Ireland,Verified,51.4616,0.345211
271,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,05/08/2014,PCOME,Verified,31.7938,-112.231
272,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,05/08/2014,PCOME,Verified,31.7155,-112.144
273,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,05/08/2014,PCOME,Verified,32.0302,-111.747
274,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,04/08/2014,PCOME,Verified,31.8323,-112.508
275,Drowning,MENA,2.0,Mediterranean,03/08/2014,IOM Italy,Verified,33.49917908,15.49076328
276,Hit by train,Central America,1.0,U.S./Mexico Border,01/08/2014,PCOME,Verified,31.8276,-111.999
277,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,31/07/2014,PCOME,Verified,31.8206,-111.686
278,Electrocution,Central America,1.0,U.S./Mexico Border,30/07/2014,PCOME,Verified,32.2862,-112.15
279,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,30/07/2014,PCOME,Verified,31.8778,-111.853
280,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,28/07/2014,PCOME,Verified,31.6232,-111.813
281,Drowning,Sub-Saharan Africa,20.0,Mediterranean,28/07/2014,ANSA Med,Verified,34.4666,13.5791
282,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,27/07/2014,PCOME,Verified,31.7914,-112.22
283,Hyperthermia,Central America,1.0,U.S./Mexico Border,26/07/2014,PCOME,Verified,31.7903,-112.367
284,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,24/07/2014,PCOME,Verified,31.8591,-112.365
285,Hit by truck,Horn of Africa,1.0,Europe,24/07/2014,The Independent,Partially Verified,50.9584,0.175781
288,Drowning,MENA,2.0,Mediterranean,19/07/2014,Zee News,Verified,31.5818,30.6711
289,On board violence,Sub-Saharan Africa,29.0,Mediterranean,19/07/2014,Voice of America,Verified,34.5821,14.2163
290,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,17/07/2014,PCOME,Verified,31.7552,-112.206
293,Drowning,South East Asia,2.0,Southeast Asia,15/07/2014,BBC,Verified,6.35306,115.291
295,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,13/07/2014,PCOME,Verified,32.14411219,-111.509938
297,Drowning,Middle East/ South Asia,4.0,Mediterranean,11/07/2014,Greek Reporter,Verified,37.86203134,26.92196211
299,Drowning,MENA,12.0,Mediterranean,06/07/2014,Reuters,Verified,32.9615,13.0888
301,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,05/07/2014,PCOME,Verified,31.8871,-112.419
302,Hyperthermia,Central America,1.0,U.S./Mexico Border,02/07/2014,PCOME,Verified,31.7587,-111.714
303,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,02/07/2014,PCOME,Verified,31.733,-111.812
304,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,01/07/2014,PCOME,Verified,31.7307,-111.842
307,Drowning,Sub-Saharan Africa,2.0,Mediterranean,29/06/2014,Yahoo! News,Verified,36.1838,12.6233
308,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,28/06/2014,PCOME,Verified,31.8661,-112.033
310,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,25/06/2014,PCOME,Verified,32.21152864,-111.5140579
311,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,19/06/2014,PCOME,Verified,31.8556,-111.723
312,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,19/06/2014,PCOME,Verified,31.7891,-111.757
313,Hyperthermia,Central America,1.0,U.S./Mexico Border,18/06/2014,PCOME,Verified,31.9838,-112.375
314,Drowning,South East Asia,9.0,Southeast Asia,18/06/2014,The World Post (Huffington and BIG),Verified,4.66259,99.5451
318,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,14/06/2014,PCOME,Verified,31.8801,-111.736
319,Hyperthermia,Central America,1.0,U.S./Mexico Border,14/06/2014,PCOME,Verified,31.9337,-112.017
321,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,13/06/2014,PCOME,Verified,32.26897922,-111.4960305
322,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,12/06/2014,PCOME,Verified,32.0575,-111.666
323,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,12/06/2014,PCOME,Verified,32.206,-111.904
324,Hyperthermia,Central America,1.0,U.S./Mexico Border,12/06/2014,PCOME,Verified,32.1723,-112.034
325,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,12/06/2014,PCOME,Verified,31.902,-112.078
327,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,10/06/2014,PCOME,Verified,32.22806172,-111.6687087
328,Hyperthermia,Central America,1.0,U.S./Mexico Border,10/06/2014,PCOME,Verified,32.12,-111.986
330,Hyperthermia,Central America,1.0,U.S./Mexico Border,09/06/2014,PCOME,Verified,32.1258,-112.01
331,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,09/06/2014,PCOME,Verified,31.9873,-111.861
332,Drowning,Sub-Saharan Africa,4.0,Mediterranean,08/06/2014,The Guardian,Verified,35.4125,12.3486
333,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,06/06/2014,PCOME,Verified,32.11413845,-111.2796089
335,Hyperthermia,Central America,1.0,U.S./Mexico Border,03/06/2014,PCOME,Verified,32.0921,-111.929
336,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,01/06/2014,PCOME,Verified,32.24780748,-111.4657634
337,Drowning,Horn of Africa,62.0,Horn of Africa,31/05/2014,New Vision,Verified,12.5331,47.9224
338,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,30/05/2014,PCOME,Verified,32.1316,-112.037
339,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,30/05/2014,PCOME,Verified,32.0921,-111.839
340,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,28/05/2014,PCOME,Verified,32.1584,-111.919
341,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,27/05/2014,PCOME,Verified,32.1235,-111.89
342,Asphyxiation,South Asia,1.0,Mediterranean,23/05/2014,Afghan immigrant dies in back of truck,Verified,39.5061,20.2655
343,Fell from truck,North Africa,1.0,Europe,23/05/2014,Calais Migrant Solidarity,Verified,50.9513,1.85869
344,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,22/05/2014,PCOME,Verified,32.20486202,-111.4550305
345,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,21/05/2014,PCOME,Verified,32.1526,-111.861
346,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,13/05/2014,PCOME,Verified,32.1607,-111.855
347,Drowning,Sub-Saharan Africa,17.0,Mediterranean,12/05/2014,ANSA Med and Relief Web,Verified,34.7086,15.6665
348,Blunt force injuries,Central America,1.0,U.S./Mexico Border,10/05/2014,PCOME,Verified,32.0654,-111.3052083
349,"Starvation, Dehydration, Exhaustion",Sub-Saharan Africa,13.0,North Africa,09/05/2014,Reuters and Middle East eye,Verified,20.086,5.18555
350,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,08/05/2014,PCOME,Verified,32.0456,-111.2807834
352,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,06/05/2014,PCOME,Verified,32.13633713,-111.4099895
353,Drowning,Sub-Saharan Africa,44.0,Mediterranean,06/05/2014,Relief Web/UNHCR,Verified,33.1045,14.3481
354,Drowning,MENA,22.0,Mediterranean,05/05/2014,BBC,Verified,37.84843322,27.1115335
355,Drowning,Horn of Africa,4.0,Mediterranean,02/05/2014,Relief Web,Verified,32.6801,15.9961
356,Fell from truck,Horn of Africa,1.0,Europe,02/05/2014,Calais Migrant Solidarity,Verified,50.9513,1.85869
357,Drowning,Caribbean,6.0,Caribbean,01/05/2014,Dominican Today,Verified,18.3079,-69.5819
358,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,01/05/2014,PCOME,Verified,32.13281032,-111.5398149
360,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,30/04/2014,PCOME,Verified,32.0374,-111.631
361,Blunt force injuries,Central America,1.0,U.S./Mexico Border,27/04/2014,PCOME,Verified,32.13248362,-111.5813491
362,Hyperthermia,Central America,1.0,U.S./Mexico Border,27/04/2014,PCOME,Verified,32.09096259,-111.541856
364,Shot,East Asia,5.0,Southeast Asia,21/04/2014,New York Times,Verified,21.5928,107.493
365,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,18/04/2014,PCOME,Verified,32.2119,-111.996
366,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,17/04/2014,PCOME,Verified,32.1991,-111.82
367,Drowning,MENA,8.0,Mediterranean,16/04/2014,World Bulletin,Verified,38.66920827,26.63088828
369,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,14/04/2014,PCOME,Verified,32.19563524,-111.5666025
370,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,14/04/2014,PCOME,Verified,32.17472481,-111.4080442
371,"Hyperthermia, Abandoned by smugglers in the desert",Horn of Africa,10.0,North Africa,14/04/2014,Agence France Presse,Verified,23.3112,21.8569
372,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,10/04/2014,PCOME,Verified,32.0397,-111.633
373,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,10/04/2014,PCOME,Verified,31.9967,-111.787
374,Drowning,Sub-Saharan Africa,17.0,Sub-Saharan Africa,09/04/2014,AllAfrica,Verified,-23.8148,32.4884
376,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,02/04/2014,PCOME,Verified,32.07696365,-111.3660989
377,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,30/03/2014,PCOME,Verified,32.1317,-111.816
378,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,30/03/2014,PCOME,Verified,32.0444,-111.908
379,Blunt force injuries,Central America & Mexico,1.0,U.S./Mexico Border,30/03/2014,PCOME,Verified,32.17117489,-111.5894827
380,Fell from wall,Central America & Mexico,1.0,U.S./Mexico Border,30/03/2014,Nogales International and PCOME,Verified,34.1014,-110.964
381,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,26/03/2014,PCOME,Verified,32.0339,-111.728
382,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,26/03/2014,PCOME,Verified,32.084,-111.901
383,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,23/03/2014,PCOME,Verified,32.16308885,-111.4407119
384,Drowning,Sub-Saharan Africa,251.0,Sub-Saharan Africa,22/03/2014,BBC (UNHCR),Verified,1.63236,30.8881
385,Drowning,MENA,7.0,Mediterranean,18/03/2014,Guardian,Verified,39.39881406,26.49353555
387,Vehicle accident,Horn of Africa,1.0,Europe,15/03/2014,Daily Mail UK,Verified,50.9688,1.87368
388,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,15/03/2014,PCOME,Verified,32.18131364,-111.4797256
389,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,15/03/2014,PCOME,Verified,32.05104215,-111.4934585
391,Vehicle accident,Horn of Africa,1.0,Europe,12/03/2014,Daily Mail UK,Verified,50.9686,1.8675
393,Found hanged,South America,1.0,U.S./Mexico Border,11/03/2014,New York Times,Verified,31.6904,-106.425
394,Hit by vehicle,Southern Europe,1.0,Europe,09/03/2014,Daily Mail UK,Verified,50.9365,1.85566
395,Hyperthermia,Central America & Mexico,1.0,U.S./Mexico Border,04/03/2014,PCOME,Verified,34.1014,-110.964
396,Drowning after being thrown overboard by other passengers,Horn of Africa,7.0,Mediterranean,27/02/2014,Libya Herald,Verified,33.1597,15.1831
398,Drowning,Horn of Africa,11.0,Horn of Africa,26/02/2014,IOM,Verified,20.2802,38.5126
399,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,25/02/2014,PCOME,Verified,32.1398,-111.841
400,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,21/02/2014,PCOME,Verified,32.086345,-111.4979622
401,Drowning,Caribbean,8.0,Caribbean,20/02/2014,AP,Verified,18.4505,-67.7966
403,Shot,Central America,1.0,U.S./Mexico Border,18/02/2014,CNN,Verified,32.5543,-117.052
404,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,17/02/2014,PCOME,Verified,32.013,-111.786
406,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,16/02/2014,PCOME,Verified,32.12465621,-111.4379653
407,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,16/02/2014,PCOME,Verified,32.0234,-111.709
408,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,11/02/2014,PCOME,Verified,32.09440758,-111.4429106
410,Vehicle accident,South Asia,1.0,Europe,30/01/2014,Calais Migrant Solidarity,Verified,50.9355,1.87866
411,Drowning,Caribbean,1.0,Caribbean,30/01/2014,Local10.com,Partially Verified,26.116,-80.0464
412,Unknown (skeletal remains),Central America,1.0,U.S./Mexico Border,29/01/2014,PCOME,Verified,32.16074984,-111.4248181
