gender,genderLooking,age,name,counts_details,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,counts_g,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,country,city,location,distance,isFlirtstar,isHighlighted,isInfluencer,isMobile,isNew,isOnline,isVip,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,verified,shareProfileEnabled,lastOnlineDate,lastOnlineTime,birthd,whazzup,pictureId,userId
F,both,20,Pierrette,0.92,5,2612,117,0,0,True,True,False,CH,Basel,Liestal,136.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-08T14:34:25Z,1428503665.0,0,kamehameha,4fc51294ca61be3762000155,5501ff6bcc6da1e21e8b45b5
F,M,22,Nathalie,0.73,22,31736,2102,6,8,True,False,False,DE,Neu-Ulm,Holzheim,333.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-06T14:52:17Z,1428331937.0,0,und die Moral von der geschicht: fuck the World oder sie fickt dich ✌,4feb51b7ebf2c82f07002139,54fa217d190ba0a1618b4668
F,M,20,brava ragazza,0.85,12,32450,787,10,3,True,True,True,CH,Zürich,Zürich,171.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,0,2015-04-26T10:04:30Z,1430042670.0,0,nur ernstes gsuecht! wer spiele wot sell en böllehole und mier tschuttet!◻️◼️◻️◼️⚽️🇮🇹,4ff9f4aaebf2c827480007d9,54ce9b6d170ba0c7548b4bef
F,M,22,Madeline,0.96,4,1710,116,1,1,False,False,True,DE,Emmendingen,Hinterzarten,190.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-08T14:49:55Z,1428504595.0,0,"Live your life, before somewhere catch it!",500aef142d15de056f000480,500aef252d15de2d6f00046e
F,M,25,Lia,0.58,13,26842,643,1,4,False,True,True,CH,Rifferswil,Rifferswil,163.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-26T17:19:17Z,1430068757.0,0,FCZ :-),500ce1722d15de810c0004af,54e238cdcb6da1706f8b4b44
F,M,21,Vanessa,0.69,5,31020,1195,0,3,True,False,True,DE,Pulheim,Pulheim,499.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-06T14:57:34Z,1428332254.0,0,😁😁,500ebac6a9d0b30634000f91,53d7e6c8170ba055398b54ea
F,M,22,Je** 🌸,1.0,2,20266,1148,0,4,True,True,True,DE,Müllheim,Mülheim,162.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,0,2015-04-25T04:36:43Z,1429936603.0,0,✨🌸,501960390c84d34875000394,552e5bbd066ea1933e8b490b
F,M,20,Jey,0.04,4,16683,647,0,0,True,False,False,CH,Utzenstorf,Utzenstorf,95.8,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-26T10:26:08Z,1430043968.0,0,️♡ Insta: lemejey,501a62870c84d32d75000d89,55146fb7ea6da11d158b463a
F,M,25,tina,0.92,7,3413,86,0,1,True,False,True,CH,Zweisimmen,Blankenburg,57.8,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-25T18:11:13Z,1429985473.0,0,schreibt mir einfach!ich bin lieb!:-),5038fbd96f37f3d14400004c,503cbfc7ca61bea1590000bf
F,M,19,mel,0.81,13,8310,143,2,0,True,False,False,CH,Härkingen,Härkingen,125.0,0,0,0,0,0,0,0,3,True,True,True,False,False,False,0,1,2015-04-26T08:07:07Z,1430035627.0,0,I need a hero,503bd4834ea6e89a5a000123,52dd7bd9c56da1966f61cfd3
F,M,21,debora,0.62,1,25903,982,0,12,True,True,True,CH,Bâle,Basel,137.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-08T15:09:19Z,1428505759.0,0,Deb.,503fc2b8a9d0b3b2480000a8,550f31ca1c0ba0785b8b4a90
F,M,21,MISHEffect,0.85,27,33018,812,36,5,True,True,True,CH,Marbach,Marbach (LU),103.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-25T21:35:40Z,1429997740.0,0,✌️✌️,50421dc94ea6e83e24000000,550db26a086ea18e4f8b4678
F,M,24,🍒SweeT_Cherry🍒,0.19,5,22847,1282,63,7,True,False,False,US,New York,Untersiggenthal,164.0,0,0,0,1,0,0,0,4,True,True,True,True,False,False,1,1,2015-04-07T20:21:17Z,1428438077.0,0,♪☆♪☆♪(｡-_-｡)♪☆♪☆ fuck off!!,5043944e6f37f35f6600002d,525aaeb8190ba0d743a9b637
F,none,21,JayJay,1.0,13,7407,125,0,0,True,True,True,CH,Luzern,Emmen,142.0,0,0,0,1,0,0,0,3,True,True,True,False,False,False,0,1,2015-04-25T13:18:14Z,1429967894.0,0,Vie ton rêve,50450b930c84d3d40e0000b6,54ad5e03190ba0cb108b45d0
F,both,19,ॐ Mish  Ganja-Girl ॐ,0.88,30,16096,533,6,2,True,True,False,CH,Oftringen,Winznau,136.0,0,0,0,1,0,1,0,2,False,False,True,True,False,False,1,1,2015-04-26T11:50:47Z,1430049047.0,0,High sein heisst Frei sein 💋❤!! Folget uf Insta MINIMALISTICA_x3 sueche kei ons oder so.,504b834fa9d0b30a5e000305,55336759076ea11d208b483c
F,M,22,I_love_soccer,0.88,9,15457,431,0,6,True,True,True,CH,Radelfingen bei Aarberg,Lyss,79.9,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-06T11:59:59Z,1428321599.0,0,Fight for your dreams and never give up😛💪,5055c9d1ebf2c85e20000073,5411f8c8180ba0184a8b4aac
F,M,20,😊Nadine Jennifer 😊,1.0,18,6962,361,0,0,True,True,True,DE,Lörrach,Lörrach,144.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-26T08:18:01Z,1430036281.0,0,Suche den Mann fürs Leben.Nicht für eine Nacht,505b77bfa9d0b35a7f000059,552aa2c1ea6da1bd358b4851
F,both,22,🌸Joya Tiffany🌸,0.69,30,30863,1901,121,0,False,False,True,CH,Frauenfeld,Opfikon,177.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-08T15:09:04Z,1428505744.0,0,Facebook; Joya Tiffany Kuhn,505c1fb6883fa981430003eb,550c6869160ba0f7318b4771
F,M,24,Vanessa,0.85,3,51339,2926,1,43,True,False,False,CH,Erlinsbach,Erlinsbach (AG),143.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-08T10:38:36Z,1428489516.0,0,✨💗✨,505e2cb5883fa927490000de,552025c01c0ba01e1b8b4588
F,M,21,Susanne,0.96,7,3471,38,4,0,False,False,True,CH,Wetzikon,Uster,183.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-08T15:14:36Z,1428506076.0,0,SC Rapperswil Jona ⚪🔵,5061efafca61bef159000003,5465e30f170ba051228b4c6b
F,M,25,meli,0.85,18,12050,478,7,4,False,True,True,CH,Zug,Zug,162.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-07T20:11:54Z,1428437514.0,0,"Never give up!
Makes struggles that what you joy and you Happy!!😉👍😃",50770cf26f37f3186400009c,5522e5cfca6da1791c8b4688
F,M,24,LittleLady,1.0,12,26982,710,0,1,True,False,True,CH,Emmenbrücke,Emmen,138.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-08T14:22:46Z,1428502966.0,0,Sorry I’m not perfect but I’m definitely not fake!,508103fb883fa9e833000226,527629ff1a0ba0b97008fc9b
F,M,24,sase,0.96,7,1820,25,0,0,True,True,False,CH,Olten,Rothrist,128.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T11:45:05Z,1430048705.0,0,"take me or leave me, but when you leave then go forever..!",5081f53b0c84d34f350003ac,55388b1bca6da1d50b8b4a45
F,none,22,Blüemli Debbie,0.96,18,11507,194,58,0,True,False,False,CH,Lyssach,Bern,76.9,0,0,0,0,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-08T10:14:15Z,1428488055.0,0,uf nes hey debbie oder geiz guet schribi nid zrug chöit nech ja wou 2 ganzi sätz überlege!,508759df2d15de2f3a000153,54a47c42086ea12b6b8b528c
F,M,21,Meyo,0.92,10,17655,468,0,2,True,True,True,CH,Langenthal,Kriens,138.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-26T10:22:03Z,1430043723.0,0,are you the one ?,5095ab72a9d0b35655000043,553157bec76da13a558b4bb3
F,M,21,Paola,0.81,11,47000,1469,82,7,True,False,False,DE,"Lörrach (Baden-Württemberg, Germany)",Lörrach,144.0,0,0,0,1,0,0,0,2,False,False,True,True,False,False,1,1,2015-04-07T21:42:20Z,1428442940.0,0,Italia ❤️,509e925c1b0ba0713600001f,54df3f03180ba0542a8b47fd
F,M,19,Selina,0.77,8,12754,368,2,2,True,True,True,CH,Olten,Aarau,144.0,0,0,0,1,0,1,0,4,True,True,True,False,True,False,0,1,2015-04-08T15:00:57Z,1428505257.0,0,La vida tiene su propia manera.,509fd03890c8fd376b000007,548c21261a0ba0a85a8b4866
F,M,25,fabienne,0.92,20,4372,134,16,0,True,False,False,CH,Kriens,Luzern,139.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-26T10:33:15Z,1430044395.0,0,:-),50a44709ca61be6127000084,53c84ea3cb6da1dd7e8b4d55
F,M,22,Balu🐾,0.19,5,9700,124,0,3,True,False,False,CH,Wallisellen,Baltenswil,183.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-08T10:30:12Z,1428489012.0,0,🐾🐣🐾,50a88f797acab1596d00006c,54b245ed160ba0a9278b4a68
F,M,20,Nicole,0.88,3,10531,360,1,0,True,False,False,CH,Luzern,Luzern,141.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-26T10:04:56Z,1430042696.0,0,Hey☺️,50a8deee0c84d37d2c000005,5415813d150ba0d05b8b4e38
F,M,19,Nina,0.85,8,16458,486,15,1,True,False,True,CH,Niederhünigen,Konolfingen,0.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T11:33:56Z,1430048036.0,0,Heei ;),50abd2c0c56da13775000018,552a69160a6ea1e18f8b4dd4
F,M,20,Laure,0.85,5,264,6,0,0,False,True,False,CH,La Chaux-de-Fonds,La Chaux-de-Fonds,0.0,0,0,0,1,0,0,1,1,True,False,False,False,False,False,1,1,2015-04-26T09:28:25Z,1430040505.0,0,"Si on doutait sans cesse de l'avenir, on oserait jamais être heureux. ✞ Fb: Lre Vllz 👌",50aff34a1a0ba07b1d00004e,5534e4a40b6ea1ff618b4f0d
F,M,25,Besolatina,1.0,15,18475,1065,23,7,True,True,False,CH,Hirschthal,Schöftland,139.0,0,0,0,1,0,0,1,4,False,True,True,True,True,False,1,1,2015-04-25T21:30:49Z,1429997449.0,0,<3..LaCaramelita..<3   - like a Diamond in the Sky ^^,50b0b5681a0ba0c326000067,552b6669c46da13a788b4796
F,M,22,jacky,1.0,5,7045,316,0,1,True,False,True,DE,Grenzach-Wyhlen,Grenzach-Wyhlen,139.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-24T20:24:47Z,1429907087.0,0,"Ich suche etwas ernstes, nichts für eine Nacht!",50b283771b0ba0162c00008c,54c81d650b6ea1749c8b4bf6
F,M,25,SUNSHINE#SMILE,0.77,4,52884,1717,2,4,True,True,True,DE,Stuttgart,Laichingen,318.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-06T15:59:11Z,1428335951.0,0,keine ONS! Freundschaft + gesucht! was anderes gibt's hier eh net! ;),50b48af7c76da15a65000048,54ea86211a0ba0da638b474a
F,M,22,Diva ♥,0.92,12,37740,1016,41,2,True,False,True,CH,Sursee,Sursee,133.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T15:02:47Z,1430060567.0,0,"mach niemanden zu deiner Priorität, für den du nur eine Option bist!",50ba0df8c46da1c070000084,53afe904170ba0505c8b4688
F,M,20,Valentine,0.96,4,6730,297,2,1,False,True,False,CH,Prangins,Gland,29.9,0,0,0,1,0,1,0,1,False,True,False,False,False,False,0,1,2015-05-03T09:23:44Z,1430645024.0,0,Snap: titine18011995 instagramme--> valentine.lehmann,50bca8837acab16d13000049,537f7e26cb6da1571c8b8024
F,M,20,Regina,0.77,11,11120,216,0,1,True,True,False,DE,Laufenburg (Baden),Laufenburg (Baden),161.0,0,0,0,1,0,0,0,2,False,False,True,False,False,False,0,1,2015-04-03T19:07:41Z,1428088061.0,0,baduum tssss,50bfe4fd0c84d3eb690001df,54119f6d160ba008118b503f
F,M,24,laurencia,0.58,4,18395,328,0,0,False,False,True,CH,Zurich,Zürich,0.0,0,0,0,0,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-26T10:32:36Z,1430044356.0,0,Juhu Lovoo,50c0be44140ba07b3a000029,551e85620a6ea1268d8b4d54
F,M,24,Jessie,0.9,6,6756,81,0,1,True,False,True,CH,Basel,Basel,136.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-26T11:04:45Z,1430046285.0,0,❤❤,50c442ab7acab12b2500025c,54a4506f1b0ba049278b4780
F,M,21,daniela,0.88,4,10976,158,26,1,True,False,False,CH,Attelwil,Attelwil,135.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T11:47:04Z,1430048824.0,0,^^.,50c65f97c76da1170400000a,53137ba0160ba04b168b4d32
F,M,22,EST.93,0.81,5,1309,89,0,0,True,True,False,CH,Luzern,Luzern,140.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-08T15:28:46Z,1428506926.0,0,U͙N͙T͙O͙U͙C͙H͙A͙B͙L͙E͙  Wale - The Bloom❤️🎧,50c7bf0f1b0ba09307000014,551c20e1066ea1d35c8b4708
F,M,23,Sina,0.81,19,31448,754,31,1,False,False,True,CH,Schüpfen,Schüpfen,81.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-25T15:54:14Z,1429977254.0,0,Kei intresse a mäner unter 21 mercii suche ou nid spass,50ca3352ca61bef76e000033,53ac3bcd1a0ba0cc6d8b4d11
F,M,20,Suzi,0.96,8,7979,138,4,0,True,True,True,DE,Hohentengen am Hochrhein,Hohentengen am Hochrhein,179.0,0,0,0,1,0,0,0,2,False,False,True,False,False,False,1,1,2015-04-25T22:03:56Z,1429999436.0,0,mich gibts nur im Doppelpack ;-),50cfc14b150ba0f5620001f7,50f72bce6f37f3d37e000058
F,M,24,HRVATiCA,0.31,12,12629,548,0,3,True,False,False,DE,Köln,Köln,498.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-06T14:56:52Z,1428332212.0,0,"Manchmal muss du vergessen was du willst, um dich daran zu erinnern was du verdienst! 😉✌️",50d0cd8b7acab19f190000e3,551dcef8190ba0dc0c8b4da1
F,M,19,laura,0.62,4,48980,2358,28,4,True,False,True,CH,Würenlingen,Würenlingen,167.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T11:04:52Z,1430046292.0,0,"insta: aliveforothers - ""moving like the speed of sound ૐ",50d5af6a1b0ba0096e000018,5525ad66140ba01c5b8b496d
F,M,22,Chantal,0.81,3,54332,1196,0,2,True,True,False,CH,Baden,Remetschwil,162.0,0,0,0,1,0,1,0,0,False,False,False,False,False,False,1,1,2015-04-26T10:58:12Z,1430045892.0,0,..,50d89ab12d15de7c73000019,50e69181150ba0763200000e
F,M,20,Young Yummy,0.85,28,33528,3679,32,10,False,True,False,CH,Basel,Basel,138.0,0,0,0,1,0,1,0,5,False,True,True,False,True,False,1,1,2015-04-08T15:19:24Z,1428506364.0,0,Fitness💪 Tattoos👊,50da3a797acab1f041000000,55038f65c96da15c998b4a4c
F,M,22,stella101,0.62,11,6495,292,0,0,True,False,False,CH,Berna,Berna,77.0,0,0,0,1,0,1,0,4,True,True,True,True,False,False,0,1,2015-04-06T15:10:37Z,1428333037.0,0,Das Gesicht eines Menschen siehst du im Licht - seinen Charakter im Dunklen,50dd6cd8150ba0415a000027,54aa8e181c0ba069108b48df
F,M,23,nymeria,1.0,30,11989,272,0,0,True,False,True,CH,Burgdorf,Burgdorf,95.6,0,0,0,1,0,0,1,1,False,False,True,False,False,False,0,1,2015-04-26T08:04:51Z,1430035491.0,0,"Die Leiden sind wie Gewitterwolken. In der Ferne sehen sie schwarz aus, über uns kaum grau",50ddf34b140ba0c51e000000,552a48dde86da193318b45df
F,M,19,Livia,0.42,5,6012,132,0,0,False,False,True,CH,Nuolen,Wädenswil,174.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-06T14:29:14Z,1428330554.0,0,instagram : Liveeel 😁🙈,50e5e7cf7acab1317a000007,54e84423076ea1dc568b4d83
F,M,20,Stefania,0.81,13,2844,35,6,0,True,False,True,CH,Rothrist,Rothrist,131.0,0,0,0,1,0,0,0,2,False,False,True,True,False,False,0,1,2015-04-19T21:33:57Z,1429479237.0,0,🎀stefi🎀,50e61f4c6f37f3454f000006,5529c16a1c0ba00e0a8b4b08
F,M,20,Bebisch,0.35,1,27174,1306,0,2,True,False,False,CH,Zurich,Geroldswil,168.0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,1,1,2015-04-26T11:50:23Z,1430049023.0,0,♛☆,50e692676f37f3827d000034,54c9c9abc86da1c82f8b4f44
F,M,25,Froueli22,0.81,11,4709,203,10,0,True,True,True,CH,Berne,Belp,76.1,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-24T16:00:56Z,1429891256.0,0,not perfect thats me,50e9be370c84d3783600005f,54b1ddbf076ea17b518b4816
F,M,21,Tilly,0.85,21,20642,530,15,0,True,False,False,CH,Seftigen,Thun,80.1,0,0,0,1,0,0,0,3,False,True,True,False,True,False,0,1,2015-04-08T13:59:53Z,1428501593.0,0,Bow Down👌👌,50f141fcc76da1d728000134,55104155076ea1f38c8b46a3
F,M,23,sabe713,0.88,7,18216,301,0,2,True,True,True,CH,Aarau,Schafisheim,149.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T11:20:43Z,1430047243.0,0,"Jungs, werdet erwachsen..  Das leben ist kein spielplatz..!",50f3220f38a89c0a5b00004e,51fe675f1b0ba0d228fd8a65
F,M,21,Holidaay_,1.0,15,30950,1173,4,10,False,False,True,DE,Tübingen,Tübingen,286.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-06T14:55:00Z,1428332100.0,0,Don't lose hope,50f40f6190c8fdb560000071,53fa0a5be86da14d868b4937
F,M,19,Jessica.,0.69,7,9078,335,11,0,True,False,False,DE,Freiburg im Breisgau,Freiburg im Breisgau,188.0,0,0,0,1,0,0,1,1,False,False,True,False,False,False,1,1,2015-04-26T00:27:47Z,1430008067.0,0,Benimm dich wie eine Lady aber denk wie Boss.,50f445bb38a89cfb2300002a,551562aa086ea1768d8b456b
F,none,21,Bella*,0.96,3,18187,772,51,2,False,False,True,CH,Interlaken,Interlaken,95.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-25T22:40:58Z,1430001658.0,0,Lächle und die Welt gehört dir.,50f6eb85170ba0cd43000041,54a6c390c86da151248b4991
F,M,21,vanessa Kristin,0.77,10,21469,623,1,0,True,False,False,DE,Freiburg im Breisgau,March,190.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-06T13:43:36Z,1428327816.0,0,instagram    vanessa.kristin.7,50f7100f190ba04d5e00017e,54fdc3491b0ba076578b469e
F,M,20,_Tati_,0.92,14,51560,6155,18,11,True,False,False,CH,Siglistorf,Steinmaur,175.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-26T11:47:45Z,1430048865.0,0,zur INFO bin 19ni ✌😂 😘follow me on instagram 🙌 🎀👍  -->  _tatij,50f9099d90c8fd99540000e6,55380277c66da1264a8b47ef
F,M,23,Bernadette,1.0,20,23177,1194,25,13,False,False,True,CH,Wettingen,Wettingen,166.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,1,1,2015-04-08T11:19:53Z,1428491993.0,0,catch me if you can💘,50fa59cc7acab11d6a000094,51edbbf7150ba035065ca1ea
F,M,20,Yara,1.0,13,4829,348,0,3,False,False,True,DE,Sexau,Sexau,198.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-26T16:40:40Z,1430066440.0,0,schreibt ;),50fb18b97acab14f200001a2,5534dbe00a6ea1e6988b4ba8
F,M,20,VioLa_,0.42,4,31435,1978,0,1,True,True,True,CH,Bremgarten bei Bern,Bremgarten bei Bern,79.7,0,0,0,1,0,0,0,2,False,False,True,True,False,False,0,0,2015-04-26T10:04:18Z,1430042658.0,0,♤♡♢♧,50fc18d51c6988476800011b,553519ceec6da13b8c8b518e
F,M,24,Angelina_ink,0.77,27,28159,638,0,1,True,True,False,DE,Radolfzell am Bodensee,Gebenstorf,161.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-11T16:42:35Z,1428770555.0,0,kennenlernen? nur wenn du 140 kg Bank drücken kannst... 😉 Beauty & Beast-mode 💪💖,50fc37851d6988a7490000be,541dec98160ba05f5f8b45bc
F,both,22,lisa,1.0,11,5550,450,12,4,False,True,False,DE,Freiburg im Breisgau,Lörrach,144.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-26T18:52:03Z,1430074323.0,0,sun is up,50fdb9d1170ba0524c000035,5531a8841a0ba0b31f8b4a54
F,M,19,colore,0.5,8,1255,52,1,1,True,True,False,CH,Zug,Zug,160.0,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-05T21:32:21Z,1428269541.0,0,🙈🙉🙊,5102daf51e69880d1500010b,5518f196180ba0f16e8b45b4
F,M,23,Bambi06,1.0,4,7493,362,48,4,True,False,False,DE,Köln,Köln,496.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-06T14:54:27Z,1428332067.0,0,♥ Formidable ♥ ,510407c790c8fd9a22000050,5516c069180ba08a258b496b
F,none,23,Chrissy,0.96,4,5177,467,0,0,True,True,True,CH,Dubendorf,Dubendorf,178.0,0,0,0,1,0,1,0,2,False,True,True,False,False,False,1,1,2015-04-08T14:32:44Z,1428503564.0,0,🙈🍀,51059c68190ba0f01c00001e,55022190c46da14d7a8b47df
F,M,21,anni,0.77,18,15200,1187,7,3,True,False,False,DE,Stuttgart,Aspach,341.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,1,1,2015-04-06T14:54:50Z,1428332090.0,0,follow on instagram ANNI_1093,51068563150ba02b73000108,521c7353c76da1473406bc9b
F,M,26,Agnieszka,0.73,11,25845,1898,34,4,True,True,True,DE,Sindelfingen,Sindelfingen,302.0,0,0,0,1,0,1,0,5,False,True,True,False,False,False,0,0,2015-04-06T16:15:58Z,1428336958.0,0,""" Made in  <3  P O L S K A  <3 """,5106db1a140ba0307e00016d,541f0a751a0ba0831e8b4b11
F,M,25,Nicole1989,0.96,7,8143,317,1,0,False,False,True,DE,Köln,Köln,495.0,0,0,0,1,0,1,0,2,False,False,True,False,False,False,1,1,2015-04-06T15:57:03Z,1428335823.0,0,😊😊,5109b4e4170ba0b722000222,54a584ae1a0ba08d198b466d
F,both,24,Jasmin,1.0,10,10861,593,9,1,True,False,False,DE,Remagen,Remagen,453.0,0,0,0,1,0,1,0,1,False,False,True,False,False,False,0,1,2015-04-27T19:39:30Z,1430163570.0,0,:),510a4f750c84d3a54800007d,551f1dfc066ea126588b49ac
F,M,21,jessika,0.27,21,52465,3739,4,3,True,False,True,CH,Fribourg,Schwarzsee,51.4,0,0,0,1,0,0,0,1,False,False,True,False,False,False,0,1,2015-04-26T10:45:05Z,1430045105.0,0,·✰«Live your life✰«,510acfd738a89cb663000008,553a3ff7086ea1d37d8b50bc
