gender,age,name,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,connectedToFacebook,isVIP,isVerified,lastOnline,lastOnlineTs,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city,locationCity,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online,pictureId,userId,isSystemProfile
F,22,Madeline,4,1710,116,False,False,True,False,False,False,2015-04-08 14:49:55,1428504595.0,1,False,False,True,False,False,False,Emmendingen,Hinterzarten,0.959999978542328,False,False,False,False,False,190.0,False,True,False,500aef142d15de056f000480,500aef252d15de2d6f00046e,False
F,25,Lia,13,26842,643,False,True,True,False,False,False,2015-04-26 17:19:17,1430068757.0,1,False,False,True,False,False,False,Rifferswil,Rifferswil,0.5799999833106995,False,False,False,False,False,163.0,False,True,False,500ce1722d15de810c0004af,54e238cdcb6da1706f8b4b44,False
F,22,Je** 🌸,2,20266,1148,True,True,True,False,False,False,2015-04-25 04:36:43,1429936603.0,1,False,False,True,False,False,False,Müllheim,Mülheim,1.0,False,False,False,False,False,162.0,False,True,False,501960390c84d34875000394,552e5bbd066ea1933e8b490b,False
F,20,Jey,4,16683,647,True,False,False,False,False,True,2015-04-26 10:26:08,1430043968.0,1,False,False,True,False,False,False,Utzenstorf,Utzenstorf,0.0399999991059303,False,False,False,False,False,95.8000030517578,False,True,False,501a62870c84d32d75000d89,55146fb7ea6da11d158b463a,False
F,25,tina,7,3413,86,True,False,True,False,False,False,2015-04-25 18:11:13,1429985473.0,1,False,False,True,False,False,False,Zweisimmen,Blankenburg,0.9200000166893004,False,False,False,False,False,57.79999923706055,False,True,False,5038fbd96f37f3d14400004c,503cbfc7ca61bea1590000bf,False
F,19,mel,13,8310,143,True,False,False,False,False,False,2015-04-26 08:07:07,1430035627.0,3,True,True,True,False,False,False,Härkingen,Härkingen,0.8100000023841858,False,False,False,False,False,125.0,False,False,False,503bd4834ea6e89a5a000123,52dd7bd9c56da1966f61cfd3,False
F,21,debora,1,25903,982,True,True,True,False,False,False,2015-04-08 15:09:19,1428505759.0,1,False,False,True,False,False,False,Bâle,Basel,0.6200000047683716,False,False,False,False,False,137.0,False,True,True,503fc2b8a9d0b3b2480000a8,550f31ca1c0ba0785b8b4a90,False
F,21,MISHEffect,27,33018,812,True,True,True,False,False,True,2015-04-25 21:35:40,1429997740.0,1,False,False,True,False,False,False,Marbach,Marbach,0.8500000238418579,False,False,False,False,False,103.0,False,True,False,50421dc94ea6e83e24000000,550db26a086ea18e4f8b4678,False
F,22,rebekka1992,15,2502,25,True,False,False,False,False,False,2015-04-06 18:52:15,1428346335.0,1,False,False,True,False,False,False,Maulburg,Maulburg,0.0,False,False,False,False,False,152.0,False,True,False,50425e986f37f30f26000008,54b8170ae96da129508b4b1a,False
F,24,🍒SweeT_Cherry🍒,5,22847,1282,True,False,False,False,False,True,2015-04-07 20:21:17,1428438077.0,4,True,True,True,True,False,False,New York,Untersiggenthal,0.1899999976158142,False,False,False,False,False,164.0,False,True,False,5043944e6f37f35f6600002d,525aaeb8190ba0d743a9b637,False
F,21,JayJay,13,7407,125,True,True,True,False,False,False,2015-04-25 13:18:14,1429967894.0,3,True,True,True,False,False,False,Luzern,Emmen,1.0,False,False,False,False,False,142.0,False,True,False,50450b930c84d3d40e0000b6,54ad5e03190ba0cb108b45d0,False
F,19,ॐ Mish  Ganja-Girl ॐ,30,16096,533,True,True,False,False,False,True,2015-04-26 11:50:47,1430049047.0,2,False,False,True,True,False,False,Oftringen,Winznau,0.8799999952316284,False,False,False,False,False,136.0,False,True,True,504b834fa9d0b30a5e000305,55336759076ea11d208b483c,False
F,20,😊Nadine Jennifer 😊,18,6962,361,True,True,True,False,False,False,2015-04-26 08:18:01,1430036281.0,1,False,False,True,False,False,False,Lörrach,Lörrach,1.0,False,False,False,False,False,144.0,False,True,False,505b77bfa9d0b35a7f000059,552aa2c1ea6da1bd358b4851,False
F,22,🌸Joya Tiffany🌸,30,30863,1901,False,False,True,False,False,False,2015-04-08 15:09:04,1428505744.0,1,False,False,True,False,False,False,Frauenfeld,Opfikon,0.6899999976158142,False,False,False,False,False,177.0,False,True,True,505c1fb6883fa981430003eb,550c6869160ba0f7318b4771,False
F,24,Vanessa,3,51339,2926,True,False,False,False,False,False,2015-04-08 10:38:36,1428489516.0,1,False,False,True,False,False,False,Erlinsbach,Erlinsbach,0.8500000238418579,False,False,False,False,False,143.0,False,True,False,505e2cb5883fa927490000de,552025c01c0ba01e1b8b4588,False
F,21,Susanne,7,3471,38,False,False,True,False,False,False,2015-04-08 15:14:36,1428506076.0,1,False,False,True,False,False,False,Wetzikon,Uster,0.959999978542328,False,False,False,False,False,183.0,False,True,True,5061efafca61bef159000003,5465e30f170ba051228b4c6b,False
F,25,meli,18,12050,478,False,True,True,False,False,False,2015-04-07 20:11:54,1428437514.0,1,False,False,True,False,False,False,Zug,Zug,0.8500000238418579,False,False,False,False,False,162.0,False,True,False,50770cf26f37f3186400009c,5522e5cfca6da1791c8b4688,False
F,24,LittleLady,12,26982,710,True,False,True,False,False,True,2015-04-08 14:22:46,1428502966.0,1,False,False,True,False,False,False,Emmenbrücke,Emmen,1.0,False,False,False,False,False,138.0,False,False,False,508103fb883fa9e833000226,527629ff1a0ba0b97008fc9b,False
F,24,sase,7,1820,25,True,True,False,False,False,False,2015-04-26 11:45:05,1430048705.0,1,False,False,True,False,False,False,Olten,Rothrist,0.959999978542328,False,False,False,False,False,128.0,False,True,True,5081f53b0c84d34f350003ac,55388b1bca6da1d50b8b4a45,False
F,22,Blüemli Debbie,18,11507,194,True,False,False,False,False,True,2015-04-08 10:14:15,1428488055.0,1,False,False,True,False,False,False,Lyssach,Bern,0.959999978542328,False,False,False,False,False,76.9000015258789,False,False,False,508759df2d15de2f3a000153,54a47c42086ea12b6b8b528c,False
F,21,Meyo,10,17655,468,True,True,True,False,False,True,2015-04-26 10:22:03,1430043723.0,1,False,False,True,False,False,False,Langenthal,Kriens,0.9200000166893004,False,False,False,False,False,138.0,False,True,False,5095ab72a9d0b35655000043,553157bec76da13a558b4bb3,False
F,21,Paola,11,47000,1469,True,False,False,False,False,True,2015-04-07 21:42:20,1428442940.0,2,False,False,True,True,False,False,"Lörrach (Baden-Württemberg, Germany)",Lörrach,0.8100000023841858,False,False,False,False,False,144.0,False,True,False,509e925c1b0ba0713600001f,54df3f03180ba0542a8b47fd,False
F,19,Selina,8,12754,368,True,True,True,False,False,False,2015-04-08 15:00:57,1428505257.0,4,True,True,True,False,True,False,Olten,Aarau,0.7699999809265137,False,False,False,False,False,144.0,False,True,True,509fd03890c8fd376b000007,548c21261a0ba0a85a8b4866,False
F,19,...,3,7694,143,True,True,True,False,False,False,2015-04-26 01:17:35,1430011055.0,4,True,True,True,False,False,False,Oberwil (BL),Basel,0.1199999973177909,False,False,False,False,False,135.0,False,True,False,50a2cd101b0ba03874000031,550b3d02c66da1485a8b477d,False
F,25,fabienne,20,4372,134,True,False,False,False,False,False,2015-04-26 10:33:15,1430044395.0,1,False,False,True,False,False,False,Kriens,Luzern,0.9200000166893004,False,False,False,False,False,139.0,False,True,False,50a44709ca61be6127000084,53c84ea3cb6da1dd7e8b4d55,False
F,22,Balu🐾,5,9700,124,True,False,False,False,False,False,2015-04-08 10:30:12,1428489012.0,1,False,False,True,False,False,False,Wallisellen,Baltenswil,0.1899999976158142,False,False,False,False,False,183.0,False,True,False,50a88f797acab1596d00006c,54b245ed160ba0a9278b4a68,False
F,20,Nicole,3,10531,360,True,False,False,False,False,True,2015-04-26 10:04:56,1430042696.0,1,False,False,True,False,False,False,Luzern,Luzern,0.8799999952316284,False,False,False,False,False,141.0,False,False,False,50a8deee0c84d37d2c000005,5415813d150ba0d05b8b4e38,False
F,19,Nina,8,16458,486,True,False,True,False,False,False,2015-04-26 11:33:56,1430048036.0,1,False,False,True,False,False,False,Niederhünigen,Konolfingen,0.8500000238418579,False,False,False,False,False,0.0,False,True,True,50abd2c0c56da13775000018,552a69160a6ea1e18f8b4dd4,False
F,20,Laure,5,264,6,False,True,False,False,True,True,2015-04-26 09:28:25,1430040505.0,1,True,False,False,False,False,False,La Chaux-de-Fonds,La Chaux-de-Fonds,0.8500000238418579,False,False,False,False,False,0.0,False,True,False,50aff34a1a0ba07b1d00004e,5534e4a40b6ea1ff618b4f0d,False
F,25,Besolatina,15,18475,1065,True,True,False,False,True,True,2015-04-25 21:30:49,1429997449.0,4,False,True,True,True,True,False,Hirschthal,Schöftland,1.0,False,False,False,False,False,139.0,False,True,False,50b0b5681a0ba0c326000067,552b6669c46da13a788b4796,False
F,22,jacky,5,7045,316,True,False,True,False,False,True,2015-04-24 20:24:47,1429907087.0,1,False,False,True,False,False,False,Grenzach-Wyhlen,Grenzach-Wyhlen,1.0,False,False,False,False,False,139.0,False,True,False,50b283771b0ba0162c00008c,54c81d650b6ea1749c8b4bf6,False
F,25,SUNSHINE#SMILE,4,52884,1717,True,True,True,False,False,False,2015-04-06 15:59:11,1428335951.0,1,False,False,True,False,False,False,Stuttgart,Laichingen,0.7699999809265137,False,False,False,False,False,318.0,False,True,True,50b48af7c76da15a65000048,54ea86211a0ba0da638b474a,False
F,22,Diva ♥,12,37740,1016,True,False,True,False,False,False,2015-04-26 15:02:47,1430060567.0,1,False,False,True,False,False,False,Sursee,Sursee,0.9200000166893004,False,False,False,False,False,133.0,False,True,True,50ba0df8c46da1c070000084,53afe904170ba0505c8b4688,False
F,20,Valentine,4,6730,297,False,True,False,False,False,False,2015-05-03 09:23:44,1430645024.0,1,False,True,False,False,False,False,Prangins,Gland,0.959999978542328,False,False,False,False,False,29.899999618530277,False,True,True,50bca8837acab16d13000049,537f7e26cb6da1571c8b8024,False
F,24,laurencia,4,18395,328,False,False,True,False,False,False,2015-04-26 10:32:36,1430044356.0,1,False,False,True,False,False,False,Zurich,Zürich,0.5799999833106995,False,False,False,False,False,0.0,False,False,False,50c0be44140ba07b3a000029,551e85620a6ea1268d8b4d54,False
F,24,Jessie,6,6756,81,True,False,True,False,False,True,2015-04-26 11:04:45,1430046285.0,1,False,False,True,False,False,False,Basel,Basel,0.8999999761581421,False,False,False,False,False,136.0,False,True,True,50c442ab7acab12b2500025c,54a4506f1b0ba049278b4780,False
F,21,daniela,4,10976,158,True,False,False,False,False,False,2015-04-26 11:47:04,1430048824.0,1,False,False,True,False,False,False,Attelwil,Attelwil,0.8799999952316284,False,False,False,False,False,135.0,False,True,True,50c65f97c76da1170400000a,53137ba0160ba04b168b4d32,False
F,22,EST.93,5,1309,89,True,True,False,False,False,True,2015-04-08 15:28:46,1428506926.0,1,False,False,True,False,False,False,Luzern,Luzern,0.8100000023841858,False,False,False,False,False,140.0,False,True,True,50c7bf0f1b0ba09307000014,551c20e1066ea1d35c8b4708,False
F,26,Lotte,1,1448,37,False,False,True,False,False,False,2015-04-06 15:56:28,1428335788.0,1,False,False,True,False,False,False,Stuttgart,Stuttgart,0.3499999940395355,False,False,False,False,False,309.0,False,True,True,50c8b1ccc56da12b4e000008,550f075a1c0ba0642e8b49df,False
F,23,Sina,19,31448,754,False,False,True,False,False,True,2015-04-25 15:54:14,1429977254.0,1,False,False,True,False,False,False,Schüpfen,Schüpfen,0.8100000023841858,False,False,False,False,False,81.0,False,True,False,50ca3352ca61bef76e000033,53ac3bcd1a0ba0cc6d8b4d11,False
F,20,Suzi,8,7979,138,True,True,True,False,False,True,2015-04-25 22:03:56,1429999436.0,2,False,False,True,False,False,False,Hohentengen am Hochrhein,Hohentengen am Hochrhein,0.959999978542328,False,False,False,False,False,179.0,False,True,False,50cfc14b150ba0f5620001f7,50f72bce6f37f3d37e000058,False
F,19,laura,4,48980,2358,True,False,True,False,False,False,2015-04-26 11:04:52,1430046292.0,1,False,False,True,False,False,False,Würenlingen,Würenlingen,0.6200000047683716,False,False,False,False,False,167.0,False,True,True,50d5af6a1b0ba0096e000018,5525ad66140ba01c5b8b496d,False
F,22,Chantal,3,54332,1196,True,True,False,False,False,True,2015-04-26 10:58:12,1430045892.0,0,False,False,False,False,False,False,Baden,Remetschwil,0.8100000023841858,False,False,False,False,False,162.0,False,True,True,50d89ab12d15de7c73000019,50e69181150ba0763200000e,False
F,20,Young Yummy,28,33528,3679,False,True,False,False,False,True,2015-04-08 15:19:24,1428506364.0,5,False,True,True,False,True,False,Basel,Basel,0.8500000238418579,False,False,False,False,False,138.0,False,True,True,50da3a797acab1f041000000,55038f65c96da15c998b4a4c,False
F,22,stella101,11,6495,292,True,False,False,False,False,False,2015-04-06 15:10:37,1428333037.0,4,True,True,True,True,False,False,Berna,Berna,0.6200000047683716,False,False,False,False,False,77.0,False,True,True,50dd6cd8150ba0415a000027,54aa8e181c0ba069108b48df,False
F,23,nymeria,30,11989,272,True,False,True,False,True,False,2015-04-26 08:04:51,1430035491.0,1,False,False,True,False,False,False,Burgdorf,Burgdorf,1.0,False,False,False,False,False,95.5999984741211,False,True,False,50ddf34b140ba0c51e000000,552a48dde86da193318b45df,False
F,20,Stefania,13,2844,35,True,False,True,False,False,False,2015-04-19 21:33:57,1429479237.0,2,False,False,True,True,False,False,Rothrist,Rothrist,0.8100000023841858,False,False,False,False,False,131.0,False,True,False,50e61f4c6f37f3454f000006,5529c16a1c0ba00e0a8b4b08,False
F,20,Bebisch,1,27174,1306,True,False,False,False,False,True,2015-04-26 11:50:23,1430049023.0,0,False,False,False,False,False,False,Zurich,Geroldswil,0.3499999940395355,False,False,False,False,False,168.0,False,False,True,50e692676f37f3827d000034,54c9c9abc86da1c82f8b4f44,False
F,25,Froueli22,11,4709,203,True,True,True,False,False,False,2015-04-24 16:00:56,1429891256.0,1,False,False,True,False,False,False,Berne,Belp,0.8100000023841858,False,False,False,False,False,76.0999984741211,False,True,False,50e9be370c84d3783600005f,54b1ddbf076ea17b518b4816,False
F,21,Tilly,21,20642,530,True,False,False,False,False,False,2015-04-08 13:59:53,1428501593.0,3,False,True,True,False,True,False,Seftigen,Thun,0.8500000238418579,False,False,False,False,False,80.0999984741211,False,True,False,50f141fcc76da1d728000134,55104155076ea1f38c8b46a3,False
F,23,sabe713,7,18216,301,True,True,True,False,False,False,2015-04-26 11:20:43,1430047243.0,1,False,False,True,False,False,False,Aarau,Schafisheim,0.8799999952316284,False,False,False,False,False,149.0,False,True,True,50f3220f38a89c0a5b00004e,51fe675f1b0ba0d228fd8a65,False
F,19,Jessica.,7,9078,335,True,False,False,False,True,True,2015-04-26 00:27:47,1430008067.0,1,False,False,True,False,False,False,Freiburg im Breisgau,Freiburg im Breisgau,0.6899999976158142,False,False,False,False,False,188.0,False,True,False,50f445bb38a89cfb2300002a,551562aa086ea1768d8b456b,False
F,21,Bella*,3,18187,772,False,False,True,False,False,True,2015-04-25 22:40:58,1430001658.0,1,False,False,True,False,False,False,Interlaken,Interlaken,0.959999978542328,False,False,False,False,False,95.0,False,True,False,50f6eb85170ba0cd43000041,54a6c390c86da151248b4991,False
F,20,_Tati_,14,51560,6155,True,False,False,False,False,True,2015-04-26 11:47:45,1430048865.0,1,False,False,True,False,False,False,Siglistorf,Steinmaur,0.9200000166893004,False,False,False,False,False,175.0,False,True,True,50f9099d90c8fd99540000e6,55380277c66da1264a8b47ef,False
F,23,Bernadette,20,23177,1194,False,False,True,False,False,True,2015-04-08 11:19:53,1428491993.0,1,False,False,True,False,False,False,Wettingen,Wettingen,1.0,False,False,False,False,False,166.0,False,True,False,50fa59cc7acab11d6a000094,51edbbf7150ba035065ca1ea,False
F,23,Honigbär,1,52,0,True,False,True,False,False,False,2015-04-06 15:55:21,1428335721.0,1,False,False,True,False,False,False,Michelbach an der Bilz,Schwäbisch Hall,0.5400000214576721,False,False,False,False,False,371.0,False,True,True,50faaba538a89c18710000b0,552275c6170ba0840f8b498a,False
F,20,Yara,13,4829,348,False,False,True,False,False,False,2015-04-26 16:40:40,1430066440.0,1,False,False,True,False,False,False,Sexau,Sexau,1.0,False,False,False,False,False,198.0,False,True,False,50fb18b97acab14f200001a2,5534dbe00a6ea1e6988b4ba8,False
F,20,VioLa_,4,31435,1978,True,True,True,False,False,False,2015-04-26 10:04:18,1430042658.0,2,False,False,True,True,False,False,Bremgarten bei Bern,Bremgarten bei Bern,0.4199999868869781,False,False,False,False,False,79.69999694824219,False,True,False,50fc18d51c6988476800011b,553519ceec6da13b8c8b518e,False
F,24,Angelina_ink,27,28159,638,True,True,False,False,False,False,2015-04-11 16:42:35,1428770555.0,1,False,False,True,False,False,False,Radolfzell am Bodensee,Gebenstorf,0.7699999809265137,False,False,False,False,False,161.0,False,True,False,50fc37851d6988a7490000be,541dec98160ba05f5f8b45bc,False
F,22,lisa,11,5550,450,False,True,False,False,False,False,2015-04-26 18:52:03,1430074323.0,1,False,False,True,False,False,False,Freiburg im Breisgau,Lörrach,1.0,False,False,False,False,False,144.0,False,True,True,50fdb9d1170ba0524c000035,5531a8841a0ba0b31f8b4a54,False
F,19,colore,8,1255,52,True,True,False,False,False,False,2015-04-05 21:32:21,1428269541.0,1,False,False,True,False,False,False,Zug,Zug,0.5,False,False,False,False,False,160.0,False,True,False,5102daf51e69880d1500010b,5518f196180ba0f16e8b45b4,False
F,23,Chrissy,4,5177,467,True,True,True,False,False,True,2015-04-08 14:32:44,1428503564.0,2,False,True,True,False,False,False,Dubendorf,Dubendorf,0.959999978542328,False,False,False,False,False,178.0,False,True,True,51059c68190ba0f01c00001e,55022190c46da14d7a8b47df,False
F,26,Agnieszka,11,25845,1898,True,True,True,False,False,False,2015-04-06 16:15:58,1428336958.0,5,False,True,True,False,False,False,Sindelfingen,Sindelfingen,0.7300000190734863,False,False,False,False,False,302.0,False,True,True,5106db1a140ba0307e00016d,541f0a751a0ba0831e8b4b11,False
F,25,Nicole1989,7,8143,317,False,False,True,False,False,True,2015-04-06 15:57:03,1428335823.0,2,False,False,True,False,False,False,Köln,Köln,0.959999978542328,False,False,False,False,False,495.0,False,True,True,5109b4e4170ba0b722000222,54a584ae1a0ba08d198b466d,False
F,24,Jasmin,10,10861,593,True,False,False,False,False,False,2015-04-27 19:39:30,1430163570.0,1,False,False,True,False,False,False,Remagen,Remagen,1.0,False,False,False,False,False,453.0,False,True,True,510a4f750c84d3a54800007d,551f1dfc066ea126588b49ac,False
F,21,jessika,21,52465,3739,True,False,True,False,False,False,2015-04-26 10:45:05,1430045105.0,1,False,False,True,False,False,False,Fribourg,Schwarzsee,0.270000010728836,False,False,False,False,False,51.400001525878906,False,True,False,510acfd738a89cb663000008,553a3ff7086ea1d37d8b50bc,False
F,24,lisa-roxanne,4,1076,20,True,True,True,False,False,False,2015-04-07 11:45:28,1428407128.0,1,False,False,True,False,False,False,Neuenburg am Rhein,Neuenburg am Rhein,0.8500000238418579,False,False,False,False,False,160.0,False,True,False,51115846150ba0c3310000d2,54cd35d31b0ba0006e8b4b16,False
F,22,miiieze,8,19690,551,True,False,True,False,False,True,2015-04-27 19:28:28,1430162908.0,1,False,False,True,False,False,False,Bregenz,Bregenz,0.7300000190734863,False,False,False,False,False,258.0,False,True,True,5111891a1c698865440000fc,553d16bdec6da1fd228b48ff,False
F,20,Julie,19,28293,1027,False,False,False,False,False,False,2015-05-03 07:54:04,1430639644.0,2,False,False,True,False,False,False,Basel,Herrischried,0.5,False,False,False,False,False,163.0,False,True,False,5117cf3b150ba01d540000d5,551465e9c56da1a97f8b4716,False
F,24,Svetlana,17,43796,2750,True,True,True,False,False,True,2015-04-26 06:07:35,1430028455.0,1,False,False,True,False,False,False,"Emmenbrücke (Lucerna, Schweiz)",Emmen,0.0,False,False,False,False,False,139.0,False,True,False,5117d5bd1d69884d140000c7,54c34090190ba0a5428b4ec5,False
F,19,Lara,7,5101,158,True,False,False,False,False,False,2015-04-26 18:51:54,1430074314.0,2,True,False,True,False,False,False,Lenk im Simmental,Thun,1.0,False,True,False,False,True,79.30000305175781,False,True,True,511a6290190ba01634000087,553b56fd066ea1f26b8b467e,False
F,20,Cindy,4,9850,241,True,False,False,False,False,True,2015-04-25 14:58:10,1429973890.0,1,False,False,True,False,False,False,"Samstagern (Zurich, Schweiz)",Einsiedeln,0.3499999940395355,False,False,False,False,False,174.0,False,True,False,511b8ed138a89c2320000019,543db0531b0ba0080c8b4dc1,False
F,19,swaga_,4,21224,316,True,False,False,False,False,True,2015-04-26 06:25:36,1430029536.0,3,False,True,True,False,False,False,Kingston,Aarau,0.2300000041723251,False,False,False,False,False,145.0,False,True,False,511c3eaac76da1e526000004,54a95f17ca6da19c758b46c5,False
F,19,Vanessa,9,4335,355,True,False,False,False,False,False,2015-04-06 17:04:43,1428339883.0,1,False,False,True,False,False,False,Brig,Brig-Glis,0.5,False,False,False,False,False,106.0,False,True,False,511cceb51d6988784100018d,53ec36bc160ba0c87b8b51f6,False
F,19,tamara,4,12754,644,True,False,False,False,False,False,2015-04-26 17:27:46,1430069266.0,1,False,False,True,False,False,False,Fribourg,Fribourg,0.6499999761581421,False,False,False,False,False,50.400001525878906,False,True,False,511f820f140ba0a91400019a,54cbb2e3cb6da1f5618b456f,False
F,26,Ramona☆,4,3441,88,False,False,True,False,False,False,2015-04-06 16:05:07,1428336307.0,1,False,False,True,False,False,False,Mühlhausen-Ehingen,Mühlhausen-Ehingen,0.8500000238418579,False,False,False,False,False,220.0,False,True,True,512144e00c84d3d524000109,54513142170ba029308b49ed,False
F,19,_swissgiirl_,10,18731,644,True,False,False,False,False,True,2015-04-26 07:39:14,1430033954.0,1,False,False,True,False,False,False,Lengnau,Lengnau,0.4199999868869781,False,False,False,False,False,92.0,False,True,False,5122a0a3170ba0d75900015e,551afdf3e86da131588b473d,False
F,21,Cheyenne,16,5450,298,True,False,False,False,False,True,2015-04-25 14:41:28,1429972888.0,9,True,True,True,True,True,True,Liestal,Liestal,0.8500000238418579,False,False,False,False,False,136.0,False,True,False,5123a9b6150ba0431a00008f,533c0e31c86da1f5338b459d,False
F,19,Miss Fortune,1,29903,2146,True,True,False,False,False,False,2015-04-26 09:14:13,1430039653.0,3,True,False,True,False,False,False,Zürich,Zürich,0.1500000059604644,False,False,False,False,False,173.0,False,True,False,51246da80c84d35d77000e2b,55076dc41b0ba0d9208b478a,False
F,24,ShellyBee,11,14526,1116,False,False,True,False,False,True,2015-04-23 07:24:45,1429773885.0,1,False,False,True,False,False,False,Grabs,Embrach,1.0,False,False,False,False,False,185.0,False,True,False,512a2a4090c8fd9476000171,552a346e086ea141568b4637,False
F,24,giftzwärg,15,3769,276,True,True,False,False,False,False,2015-04-26 11:29:51,1430047791.0,1,False,False,True,False,False,False,Visperterminen,Glis,0.8799999952316284,False,False,False,False,False,106.0,False,True,True,512b4e840c84d32f3600017d,55325cb3066ea13c128b49ce,False
F,20,lindaa:),6,7662,189,True,False,False,False,False,False,2015-04-28 10:09:40,1430215780.0,1,False,False,True,False,False,False,Eggingen,Eggingen,0.7699999809265137,False,False,False,False,False,186.0,False,True,False,513248b3160ba0eb6b000133,54882317150ba02d6a8b4968,False
F,19,Ramona,6,7571,396,False,False,True,False,False,False,2015-04-25 23:05:59,1430003159.0,1,False,False,True,False,False,False,Wikon,Wikon,0.7300000190734863,False,False,False,False,False,131.0,False,True,False,5134e776160ba0c670000009,5134e78c160ba05870000019,False
F,19,babuska,13,7842,142,True,True,False,False,False,False,2015-04-08 14:23:53,1428503033.0,2,False,False,True,False,False,False,Winterthur,Schleitheim,0.7699999809265137,False,False,False,False,False,195.0,False,True,True,5137a0eb150ba03c0d000124,5522e580086ea12e7c8b45f7,False
F,23,lisa,4,3959,188,True,False,False,False,False,True,2015-04-06 16:01:40,1428336100.0,1,False,False,True,False,False,False,Stuttgart,Stuttgart,0.8100000023841858,False,False,False,False,False,315.0,False,True,True,513a258e140ba02e5d000013,55213c7dcc6da1911b8b4593,False
F,23,Michelle,1,1797,40,False,False,True,False,False,True,2015-04-23 16:43:48,1429807428.0,1,False,False,True,False,False,False,Lahr,Lahr/Schwarzwald,0.8799999952316284,False,False,False,False,False,222.0,False,True,False,513c612c150ba06326000073,5415568b1a0ba0b51f8b5181,False
