Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
Treeing Walker Coonhound,12,13,27.0,27.0,70.0,70.0,22.0,22.0,50.0,50.0,5,5,3,1,3,1,3,4,3,5,5,4
Giant Schnauzer,12,15,27.5,27.5,85.0,75.0,25.5,25.5,60.0,55.0,3,3,3,4,2,1,3,4,5,5,5,3
Shiba Inu,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
Norfolk Terrier,12,16,10.0,10.0,12.0,12.0,9.0,9.0,11.0,11.0,5,3,3,2,1,1,5,4,4,3,4,4
Afghan Hound,12,18,27.0,27.0,60.0,60.0,25.0,25.0,50.0,50.0,3,3,1,4,1,1,3,3,3,1,4,3
Brittany,12,14,20.5,20.5,40.0,40.0,17.5,17.5,30.0,30.0,4,4,3,3,1,1,3,4,3,5,5,3
Chinook,12,15,26.0,26.0,90.0,65.0,24.0,24.0,55.0,50.0,5,5,3,3,1,1,3,3,4,4,3,5
Doberman Pinscher,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
Pekingese,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
Whippet,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
Basenji,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
Bolognese,12,14,12.0,12.0,9.0,9.0,10.0,10.0,5.5,5.5,3,3,1,3,1,1,3,4,2,3,4,3
Smooth Fox Terrier,12,15,15.5,15.5,18.0,17.0,15.5,15.5,18.0,15.0,3,3,3,2,1,1,3,4,5,3,4,5
Field Spaniel,12,13,18.0,18.0,50.0,50.0,18.0,18.0,35.0,35.0,5,4,3,2,2,1,4,3,3,5,3,3
Havanese,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
Japanese Chin,10,12,11.0,11.0,11.0,11.0,8.0,8.0,7.0,7.0,3,5,3,2,1,1,3,3,3,3,3,2
Keeshond,12,15,18.0,18.0,45.0,45.0,18.0,18.0,35.0,35.0,5,5,3,3,2,1,5,5,5,5,4,4
American Eskimo Dog,13,15,26.0,26.0,65.0,65.0,24.0,24.0,45.0,45.0,5,3,3,3,1,1,5,3,3,4,4,3
American Hairless Terrier,14,16,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,5,3,1,1,1,1,3,3,3,5,3,3
American Leopard Hound,12,15,27.0,27.0,70.0,70.0,21.0,21.0,45.0,45.0,5,3,3,1,1,1,3,3,3,3,4,3
American Water Spaniel,10,14,18.0,18.0,45.0,40.0,15.0,15.0,30.0,25.0,3,3,1,3,1,1,3,3,3,5,3,3
Anatolian Shepherd Dog,11,13,29.0,29.0,150.0,120.0,29.0,29.0,110.0,80.0,3,3,3,2,1,1,1,3,5,2,3,3
Barbet,12,14,24.5,24.5,65.0,65.0,19.0,19.0,35.0,35.0,5,5,1,3,1,2,3,3,3,4,3,3
Bergamasco Sheepdog,13,15,23.5,23.5,84.0,71.0,23.5,23.5,70.0,57.0,3,3,1,1,2,1,3,3,4,3,3,1
Berger Picard,12,13,25.5,25.5,70.0,70.0,23.5,23.5,50.0,50.0,3,3,3,1,1,1,3,3,4,4,4,2
Boerboel,9,11,27.0,27.0,200.0,200.0,24.0,24.0,150.0,150.0,4,2,3,2,3,1,3,3,5,4,3,3
Borzoi,9,14,33.0,31.0,105.0,85.0,30.0,27.0,75.0,60.0,3,3,3,2,1,1,3,3,3,2,4,2
Bracco Italiano,10,14,27.0,27.0,90.0,90.0,21.0,21.0,55.0,55.0,4,4,2,1,2,1,3,3,3,5,4,2
Cane Corso,9,12,27.5,27.5,110.0,99.0,25.0,25.0,99.0,88.0,3,3,2,1,3,1,3,3,5,4,4,3
Coton de Tulear,15,19,11.0,11.0,15.0,13.0,10.0,10.0,9.0,8.0,5,5,2,4,1,1,5,4,3,4,3,1
Papillon,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
Plott Hound,12,14,25.0,25.0,60.0,55.0,20.0,20.0,50.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0
Pumi,12,13,18.5,18.5,29.0,24.0,16.0,16.0,27.0,22.0,3,3,1,2,2,1,3,4,4,5,5,3
Xoloitzcuintli,13,18,25.0,25.0,60.0,60.0,19.0,19.0,28.0,28.0,3,3,1,1,1,1,3,4,3,4,4,3
Tibetan Mastiff,10,12,30.0,28.0,150.0,120.0,26.0,24.0,90.0,70.0,3,3,4,3,3,1,1,3,5,3,3,3
Samoyed,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
Schipperke,12,14,13.0,13.0,16.0,16.0,11.0,11.0,10.0,10.0,3,3,3,2,1,1,3,4,5,4,3,4
Rhodesian Ridgeback,10,12,27.0,27.0,85.0,70.0,25.0,25.0,85.0,70.0,5,3,3,2,2,1,3,3,5,4,3,2
Russian Toy,12,14,11.0,11.0,6.6,6.6,8.0,8.0,3.3,3.3,3,3,3,2,1,1,3,4,4,4,3,4
Nova Scotia Duck Tolling Retriever,12,14,21.0,21.0,50.0,50.0,18.0,18.0,35.0,35.0,5,4,3,2,2,1,3,5,3,5,5,2
Mudi,12,14,18.5,18.5,29.0,29.0,15.0,15.0,18.0,18.0,3,3,2,1,2,1,3,5,4,5,5,4
Alaskan Klee Kai,13,16,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,0,0,3,2,0,1,0,0,0,3,4,0
Jindo,14,14,22.0,22.0,50.0,50.0,18.0,18.0,30.0,30.0,3,3,3,2,1,1,3,3,5,4,4,3
Irish Terrier,13,15,18.0,18.0,27.0,25.0,18.0,18.0,27.0,25.0,5,1,2,1,1,1,3,3,5,3,3,3
Italian Greyhound,14,15,15.0,15.0,14.0,14.0,13.0,13.0,7.0,7.0,3,5,3,1,1,1,5,4,3,4,3,3
Hovawart,10,14,28.0,28.0,90.0,90.0,23.0,23.0,65.0,65.0,4,4,3,2,2,1,4,4,5,4,3,1
Cavalier King Charles Spaniel,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
Alaskan Malamute,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
Australian Cattle Dog,12,16,20.0,20.0,50.0,50.0,18.0,18.0,35.0,35.0,3,3,3,1,1,1,3,3,4,4,5,1
Miniature Pinscher,12,16,12.5,12.5,10.0,10.0,10.0,10.0,8.0,8.0,3,4,3,1,1,1,3,4,5,3,5,5
Belgian Malinois,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
Staffordshire Bull Terrier,12,14,16.0,16.0,38.0,34.0,14.0,14.0,28.0,24.0,5,3,2,2,3,1,4,4,5,5,4,3
American Staffordshire Terrier,12,16,19.0,19.0,70.0,55.0,18.0,18.0,55.0,40.0,3,3,2,1,1,1,4,3,5,3,3,3
Australian Shepherd,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
Pembroke Welsh Corgi,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
Yorkshire Terrier,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
French Bulldog,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
